LebwohlLasher_vectorization.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.279, Time: 0.956658 s
         1601606 function calls (1579849 primitive calls) in 5.274 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      109    0.001    0.000    0.037    0.000 backend_bases.py:1365(__init__)
      586    0.001    0.000    0.006    0.000 artist.py:1176(_update_props)
     6241    0.001    0.000    0.001    0.000 sre_parse.py:234(__next)
      218    0.001    0.000    0.002    0.000 transforms.py:2487(get_matrix)
 1845/398    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
     5737    0.001    0.000    0.003    0.000 {built-in method builtins.any}
    304/1    0.001    0.000    5.275    5.275 {built-in method builtins.exec}
       38    0.001    0.000    0.001    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       53    0.001    0.000    0.002    0.000 {built-in method builtins.eval}
     7749    0.001    0.000    0.002    0.000 sre_parse.py:165(__getitem__)
      103    0.001    0.000    0.036    0.000 backend_bases.py:1461(__init__)
     1567    0.001    0.000    0.003    0.000 copy.py:66(copy)
      359    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap>:921(_find_spec)
    15288    0.001    0.000    0.001    0.000 __init__.py:152(<genexpr>)
        4    0.001    0.000    0.019    0.005 collections.py:1223(<listcomp>)
      105    0.001    0.000    0.005    0.000 artist.py:170(<listcomp>)
6654/6132    0.001    0.000    0.002    0.000 artist.py:317(stale)
      692    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
     3218    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      388    0.001    0.000    0.002    0.000 transforms.py:2043(scale)
     4482    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      595    0.001    0.000    0.007    0.000 transforms.py:1833(frozen)
      257    0.001    0.000    0.002    0.000 fromnumeric.py:40(_wrapit)
      165    0.001    0.000    0.001    0.000 sre_compile.py:292(_optimize_charset)
      407    0.001    0.000    0.002    0.000 transforms.py:758(__init__)
     5286    0.001    0.000    0.002    0.000 cbook.py:1337(_to_unmasked_float_array)
     1192    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      628    0.001    0.000    0.005    0.000 transforms.py:2498(composite_transform_factory)
     3218    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      576    0.001    0.000    0.002    0.000 transforms.py:2348(__init__)
      296    0.001    0.000    0.102    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      472    0.001    0.000    0.002    0.000 cbook.py:1743(normalize_kwargs)
    32723    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
      108    0.001    0.000    0.007    0.000 lines.py:287(__init__)
     2767    0.001    0.000    0.001    0.000 __init__.py:99(check_in_list)
  218/109    0.001    0.000    0.011    0.000 transforms.py:2368(frozen)
     1099    0.001    0.000    0.004    0.000 copy.py:259(_reconstruct)
      612    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      109    0.001    0.000    0.033    0.000 patches.py:155(contains_point)
        2    0.001    0.000    0.001    0.001 backend_agg.py:64(__init__)
      592    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     2674    0.001    0.000    0.002    0.000 cbook.py:405(_strip_comment)
       35    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
       58    0.001    0.000    0.005    0.000 ticker.py:628(format_data_short)
      129    0.001    0.000    0.001    0.000 transforms.py:368(bounds)
       72    0.001    0.000    0.007    0.000 text.py:358(_get_layout)
    16137    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x116eaa680}
  368/229    0.001    0.000    0.002    0.000 transforms.py:2431(get_affine)
        1    0.001    0.001    0.004    0.004 font_manager.py:1393(_findfont_cached)
      252    0.001    0.000    0.002    0.000 artist.py:180(__init__)
      215    0.001    0.000    0.001    0.000 transforms.py:1975(rotate)
     7289    0.001    0.000    0.001    0.000 enum.py:678(__new__)
     5190    0.001    0.000    0.002    0.000 sre_parse.py:255(get)
      248    0.001    0.000    0.001    0.000 typing.py:206(_collect_type_vars)
      801    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1284    0.001    0.000    0.001    0.000 cbook.py:2011(_setattr_cm)
    14023    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      348    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      801    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
    367/5    0.001    0.000    0.477    0.095 <frozen importlib._bootstrap>:1022(_find_and_load)
        2    0.001    0.000    0.001    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      103    0.001    0.000    0.001    0.000 backend_bases.py:1580(_mouse_handler)
     2762    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     2136    0.001    0.000    0.001    0.000 typing.py:986(__setattr__)
    348/6    0.001    0.000    0.475    0.079 <frozen importlib._bootstrap>:664(_load_unlocked)
       38    0.001    0.000    0.570    0.015 __init__.py:1(<module>)
      227    0.001    0.000    0.006    0.000 transforms.py:813(from_extents)
      357    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      528    0.001    0.000    0.001    0.000 font_manager.py:638(__hash__)
   489/82    0.001    0.000    0.420    0.005 <frozen importlib._bootstrap>:1053(_handle_fromlist)
 1009/929    0.001    0.000    0.001    0.000 transforms.py:167(_invalidate_internal)
     6078    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
  460/210    0.001    0.000    0.013    0.000 sre_parse.py:436(_parse_sub)
      218    0.001    0.000    0.002    0.000 transforms.py:2452(__init__)
      195    0.001    0.000    0.001    0.000 colors.py:1110(<listcomp>)
      929    0.001    0.000    0.001    0.000 transforms.py:158(invalidate)
      801    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      472    0.001    0.000    0.001    0.000 typing.py:146(_type_check)
     5676    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      953    0.001    0.000    0.002    0.000 fromnumeric.py:71(_wrapreduction)
      286    0.001    0.000    0.001    0.000 transforms.py:2030(translate)
    363/5    0.001    0.000    0.477    0.095 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       36    0.001    0.000    0.015    0.000 axis.py:65(__init__)
     9245    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       28    0.001    0.000    0.001    0.000 util.py:182(_collapse_string_to_ranges)
       50    0.001    0.000    0.001    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      716    0.001    0.000    0.001    0.000 inspect.py:612(unwrap)
      329    0.001    0.000    0.003    0.000 fromnumeric.py:53(_wrapfunc)
      388    0.001    0.000    0.001    0.000 font_manager.py:1173(score_stretch)
      639    0.001    0.000    0.001    0.000 inspect.py:66(get_annotations)
   288/72    0.001    0.000    0.005    0.000 copy.py:227(_deepcopy_dict)
      147    0.001    0.000    0.001    0.000 patches.py:738(_convert_units)
      226    0.001    0.000    0.001    0.000 shape_base.py:612(column_stack)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      755    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     5355    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      330    0.001    0.000    0.002    0.000 transforms.py:2592(get_matrix)
      328    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      109    0.001    0.000    0.013    0.000 path.py:502(contains_point)
        1    0.000    0.000    0.001    0.001 _cm_listed.py:1(<module>)
     1043    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     2781    0.000    0.000    0.001    0.000 inspect.py:2969(<genexpr>)
      388    0.000    0.000    0.001    0.000 font_manager.py:1115(score_family)
     8136    0.000    0.000    0.000    0.000 {built-in method builtins.id}
