Usage: python LebwohlLasher_vectorization_numba.py <ITERATIONS> <SIZE> <TEMPERATURE> <PLOTFLAG>
         1221555 function calls (1203393 primitive calls) in 1.157 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      557    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      582    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      268    0.001    0.000    0.002    0.000 typing.py:206(_collect_type_vars)
     2326    0.001    0.000    0.003    0.000 typing.py:986(__setattr__)
  560/242    0.001    0.000    0.025    0.000 sre_parse.py:436(_parse_sub)
     8127    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
  801/115    0.001    0.000    1.027    0.009 <frozen importlib._bootstrap>:1053(_handle_fromlist)
22258/21998    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     5220    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     1050    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    13007    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      525    0.001    0.000    0.142    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      504    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
     4160    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     6145    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
       28    0.001    0.000    0.003    0.000 util.py:182(_collapse_string_to_ranges)
     6650    0.001    0.000    0.001    0.000 enum.py:678(__new__)
       65    0.001    0.000    0.001    0.000 {built-in method _ctypes.POINTER}
      195    0.001    0.000    0.001    0.000 colors.py:1110(<listcomp>)
    525/5    0.001    0.000    1.131    0.226 <frozen importlib._bootstrap_external>:877(exec_module)
     1757    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     6231    0.001    0.000    0.002    0.000 {method 'add' of 'set' objects}
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
       63    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      761    0.001    0.000    0.002    0.000 inspect.py:612(unwrap)
     9242    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
3231/3228    0.001    0.000    0.001    0.000 abstract.py:124(__eq__)
      242    0.001    0.000    0.050    0.000 sre_compile.py:783(compile)
      242    0.001    0.000    0.007    0.000 sre_compile.py:560(_compile_info)
        2    0.001    0.000    0.002    0.001 decoder.py:343(raw_decode)
     5355    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      682    0.001    0.000    0.001    0.000 inspect.py:66(get_annotations)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
  587/584    0.001    0.000    0.151    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      525    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     2911    0.001    0.000    0.002    0.000 castgraph.py:48(get)
     1575    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     3110    0.001    0.000    0.001    0.000 sre_parse.py:173(append)
      553    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      267    0.001    0.000    0.005    0.000 typing.py:1016(__init__)
      802    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
     3885    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      525    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      409    0.001    0.000    0.002    0.000 copy.py:66(copy)
        5    0.001    0.000    0.001    0.000 __init__.py:509(cast)
     2342    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.001    0.001    0.007    0.007 polynomial.py:453(polyfit)
2516/2346    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      225    0.001    0.000    0.001    0.000 core.py:455(__init__)
     2921    0.001    0.000    0.001    0.000 inspect.py:2969(<genexpr>)
 3538/834    0.001    0.000    0.001    0.000 __init__.py:353(recursive_subclasses)
      973    0.001    0.000    0.011    0.000 __init__.py:711(__setitem__)
   542/33    0.001    0.000    1.070    0.032 {built-in method builtins.__import__}
     2714    0.001    0.000    0.001    0.000 util.py:185(is_consecutive)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
        1    0.001    0.001    0.002    0.002 scimath.py:1(<module>)
      317    0.001    0.000    0.005    0.000 overrides.py:142(decorator)
      242    0.001    0.000    0.027    0.000 sre_parse.py:944(parse)
     3171    0.001    0.000    0.002    0.000 abstract.py:127(__ne__)
     2326    0.001    0.000    0.001    0.000 typing.py:935(_is_dunder)
   306/12    0.001    0.000    0.003    0.000 core.py:776(_parseNoCache)
     4798    0.001    0.000    0.001    0.000 artist.py:1563(<genexpr>)
     2398    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
     2927    0.001    0.000    0.002    0.000 castgraph.py:65(__getitem__)
       44    0.001    0.000    0.001    0.000 enum.py:222(<setcomp>)
      236    0.001    0.000    0.001    0.000 __init__.py:391(__getitem__)
       94    0.001    0.000    0.009    0.000 __init__.py:1391(_preprocess_data)
      824    0.001    0.000    0.014    0.000 abc.py:105(__new__)
     3087    0.001    0.000    0.001    0.000 sre_parse.py:161(__len__)
      609    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
     3050    0.001    0.000    0.001    0.000 sre_parse.py:250(match)
      356    0.001    0.000    0.002    0.000 inspect.py:663(_finddoc)
      582    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
     6767    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
       31    0.001    0.000    0.001    0.000 function_base.py:24(linspace)
      169    0.001    0.000    0.001    0.000 colors.py:310(_to_rgba_no_colorcycle)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
      450    0.001    0.000    0.001    0.000 font_manager.py:928(_json_decode)
     1107    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:391(cached)
      609    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      582    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     2398    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
      289    0.001    0.000    0.001    0.000 functions.py:245(__init__)
      136    0.001    0.000    0.024    0.000 _docstring.py:38(__call__)
       21    0.001    0.000    0.001    0.000 __init__.py:213(__getattr__)
      105    0.001    0.000    0.224    0.002 artist.py:159(_update_set_signature_and_docstring)
      525    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        1    0.001    0.001    0.001    0.001 transforms.py:1763(AffineBase)
     1967    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
     7610    0.001    0.000    0.001    0.000 inspect.py:2687(name)
     1143    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      639    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     5738    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      854    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1002    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      160    0.001    0.000    0.001    0.000 shape_base.py:612(column_stack)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      406    0.001    0.000    0.003    0.000 deprecation.py:9(wrap)
      525    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
     2100    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      278    0.001    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
      597    0.000    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     1786    0.000    0.000    0.001    0.000 inspect.py:277(isfunction)
      600    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
      223    0.000    0.000    0.059    0.000 artist.py:1422(__init__)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
     1393    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
      602    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      356    0.000    0.000    0.001    0.000 inspect.py:653(_findclass)
      720    0.000    0.000    0.001    0.000 enum.py:44(_is_private)
      317    0.000    0.000    0.001    0.000 sre_parse.py:356(_escape)
      437    0.000    0.000    0.010    0.000 artist.py:1536(number_of_parameters)
      612    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:169(__enter__)
     4258    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     4258    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      954    0.000    0.000    0.010    0.000 artist.py:1542(is_alias)
      317    0.000    0.000    0.004    0.000 function_base.py:497(add_newdoc)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x103936050}
     1264    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      117    0.000    0.000    0.174    0.001 artist.py:1837(kwdoc)
     2026    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      605    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
    867/5    0.000    0.000    1.129    0.226 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      409    0.000    0.000    0.001    0.000 copy.py:259(_reconstruct)
     6498    0.000    0.000    0.000    0.000 inspect.py:2699(kind)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
        1    0.000    0.000    0.001    0.001 helpers.py:692(<dictcomp>)
  526/524    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      898    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
