LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.404, Time: 1.487729 s
         2898209 function calls (2814732 primitive calls) in 3.517 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6070    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
7293/3286    0.003    0.000    0.021    0.000 _utils.py:44(__str__)
     2072    0.003    0.000    0.018    0.000 base.py:352(install_registry)
       50    0.003    0.000    0.003    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
       16    0.003    0.000    0.003    0.000 _type_aliases.py:58(bitname)
    758/1    0.003    0.000    3.518    3.518 {built-in method builtins.exec}
     2586    0.003    0.000    0.003    0.000 numpy_support.py:339(ufunc_can_cast)
     5290    0.003    0.000    0.013    0.000 event.py:209(broadcast)
      194    0.003    0.000    0.052    0.000 functions.py:281(get_call_type)
    14771    0.003    0.000    0.007    0.000 {built-in method _abc._abc_instancecheck}
 1748/548    0.003    0.000    0.003    0.000 sre_parse.py:175(getwidth)
  885/108    0.003    0.000    1.260    0.012 <frozen importlib._bootstrap>:1022(_find_and_load)
    33753    0.003    0.000    0.003    0.000 abstract.py:96(key)
5447/5422    0.003    0.000    0.006    0.000 _utils.py:54(get_reference)
       80    0.003    0.000    1.823    0.023 __init__.py:1(<module>)
     1684    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     2695    0.003    0.000    0.004    0.000 _utils.py:24(deduplicate)
   789/48    0.003    0.000    1.253    0.026 <frozen importlib._bootstrap>:664(_load_unlocked)
      259    0.003    0.000    0.262    0.001 cpu.py:60(load_additional_registries)
     2069    0.003    0.000    0.018    0.000 values.py:544(_to_string)
      789    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     1180    0.003    0.000    0.009    0.000 ansitowin32.py:81(__init__)
     1204    0.003    0.000    0.009    0.000 context.py:542(_rate_arguments)
     1684    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
      100    0.003    0.000    0.003    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
    10449    0.003    0.000    0.004    0.000 sre_parse.py:165(__getitem__)
    14771    0.003    0.000    0.009    0.000 abc.py:117(__instancecheck__)
     1684    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:100(acquire)
     5768    0.002    0.000    0.035    0.000 re.py:197(search)
     5290    0.002    0.000    0.005    0.000 event.py:100(__init__)
2536/2531    0.002    0.000    0.018    0.000 abstract.py:61(__call__)
     9995    0.002    0.000    0.004    0.000 ir.py:1275(find_insts)
   817/47    0.002    0.000    1.258    0.027 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
29517/28372    0.002    0.000    0.003    0.000 {built-in method builtins.hash}
      605    0.002    0.000    0.004    0.000 _inspect.py:96(getargspec)
     2645    0.002    0.000    0.010    0.000 event.py:390(start_event)
       86    0.002    0.000    0.012    0.000 pprint.py:376(_format_dict_items)
  2133/89    0.002    0.000    0.026    0.000 pprint.py:167(_format)
     2645    0.002    0.000    0.012    0.000 event.py:404(end_event)
      805    0.002    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     2536    0.002    0.000    0.007    0.000 abstract.py:49(_intern)
      783    0.002    0.000    0.004    0.000 enum.py:89(__setitem__)
     5095    0.002    0.000    0.003    0.000 targetconfig.py:111(getter)
      517    0.002    0.000    0.006    0.000 utils.py:350(order_by_target_specificity)
      143    0.002    0.000    0.012    0.000 context.py:592(resolve_overload)
      278    0.002    0.000    0.006    0.000 overrides.py:83(verify_matching_signatures)
      830    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     7588    0.002    0.000    0.005    0.000 sre_parse.py:255(get)
     1366    0.002    0.000    0.003    0.000 os.py:675(__getitem__)
7879/4110    0.002    0.000    0.014    0.000 pprint.py:462(format)
     4110    0.002    0.000    0.016    0.000 pprint.py:453(_repr)
     2738    0.002    0.000    0.010    0.000 values.py:537(__init__)
    28922    0.002    0.000    0.002    0.000 {method 'extend' of 'list' objects}
      649    0.002    0.000    0.003    0.000 pathlib.py:56(parse_parts)
    16253    0.002    0.000    0.003    0.000 {method 'add' of 'set' objects}
        9    0.002    0.000    0.007    0.001 postproc.py:179(_patch_var_dels)
     1404    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2042    0.002    0.000    0.002    0.000 contextlib.py:102(__init__)
      105    0.002    0.000    0.008    0.000 artist.py:170(<listcomp>)
      590    0.002    0.000    0.015    0.000 errors.py:301(_markup)
     1071    0.002    0.000    0.029    0.000 extending.py:129(decorate)
     3763    0.002    0.000    0.002    0.000 pprint.py:102(_safe_tuple)
     3196    0.002    0.000    0.002    0.000 event.py:270(on_end)
     1071    0.002    0.000    0.002    0.000 extending.py:62(overload)
      784    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     1917    0.002    0.000    0.004    0.000 typeconv.py:40(check_compatible)
      702    0.002    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
    11156    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
     5302    0.002    0.000    0.003    0.000 event.py:66(_guard_kind)
    17866    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
        5    0.002    0.000    0.002    0.000 {method 'readlines' of '_io._IOBase' objects}
    78/26    0.002    0.000    0.553    0.021 compiler_machinery.py:268(_runPass)
    10268    0.002    0.000    0.005    0.000 {built-in method builtins.issubclass}
    33935    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
     2911    0.002    0.000    0.005    0.000 castgraph.py:39(insert)
  410/241    0.002    0.000    0.213    0.001 lowering.py:457(lower_inst)
        1    0.002    0.002    0.003    0.003 scimath.py:1(<module>)
      268    0.002    0.000    0.002    0.000 typing.py:206(_collect_type_vars)
     2804    0.002    0.000    0.008    0.000 values.py:557(_set_name)
     6617    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     2130    0.002    0.000    0.030    0.000 abc.py:105(__new__)
      702    0.002    0.000    0.174    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
