#=====================================================
# File created:        Sun-03-Mar-2024-at-01-12-47PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.858035
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2563.9550  0.2543 
   00001    0.6708   -3706.8899  0.2665 
   00002    0.6328   -4507.9954  0.2756 
   00003    0.5776   -5148.6486  0.2969 
   00004    0.5320   -5625.4324  0.2992 
   00005    0.5480   -6035.9107  0.3048 
   00006    0.5276   -6289.4832  0.3048 
   00007    0.4872   -6529.3910  0.3098 
   00008    0.5124   -6741.1745  0.3059 
   00009    0.4800   -6830.6763  0.3094 
   00010    0.4812   -6938.3047  0.3171 
   00011    0.4820   -7047.5091  0.3163 
   00012    0.4720   -7148.0627  0.3203 
   00013    0.4588   -7234.8527  0.3211 
   00014    0.4528   -7292.2708  0.3190 
   00015    0.4448   -7379.0092  0.3204 
   00016    0.4516   -7388.7152  0.3249 
   00017    0.4584   -7444.4558  0.3199 
   00018    0.4676   -7503.7193  0.3154 
   00019    0.4560   -7580.3458  0.3191 
   00020    0.4320   -7640.8533  0.3133 
   00021    0.4440   -7686.8031  0.3094 
   00022    0.4376   -7711.9429  0.3091 
   00023    0.4444   -7724.8349  0.3121 
   00024    0.4432   -7763.4215  0.3179 
   00025    0.4208   -7795.8244  0.3162 
   00026    0.4464   -7801.8887  0.3194 
   00027    0.4232   -7798.0485  0.3180 
   00028    0.4248   -7803.8345  0.3180 
   00029    0.4460   -7853.3385  0.3211 
   00030    0.4476   -7849.2661  0.3231 
   00031    0.4160   -7852.1643  0.3202 
   00032    0.4120   -7898.8073  0.3193 
   00033    0.4240   -7858.9184  0.3186 
   00034    0.4412   -7930.4293  0.3194 
   00035    0.4252   -7855.5292  0.3254 
   00036    0.4532   -7948.7169  0.3359 
   00037    0.4288   -7998.9077  0.3350 
   00038    0.4252   -8066.5491  0.3362 
   00039    0.4056   -8099.5241  0.3386 
   00040    0.4316   -8104.7052  0.3338 
   00041    0.4108   -8122.2813  0.3303 
   00042    0.4184   -8030.5010  0.3378 
   00043    0.4452   -8107.7682  0.3400 
   00044    0.4244   -8077.0260  0.3399 
   00045    0.4156   -8125.2412  0.3339 
   00046    0.4400   -8103.5610  0.3308 
   00047    0.4176   -8114.5705  0.3381 
   00048    0.4336   -8074.0642  0.3388 
   00049    0.4140   -8100.3428  0.3342 
   00050    0.4288   -8126.8484  0.3291 
