#=====================================================
# File created:        Mon-11-Mar-2024-at-04-25-22PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.220693
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2404.2577  0.2511 
   00001    0.6948   -3649.9527  0.2632 
   00002    0.6144   -4401.0312  0.2686 
   00003    0.5844   -4973.1661  0.2710 
   00004    0.5636   -5403.9260  0.2815 
   00005    0.5472   -5721.3222  0.2725 
   00006    0.5092   -5972.3078  0.2752 
   00007    0.5216   -6226.7641  0.2608 
   00008    0.5192   -6421.3971  0.2583 
   00009    0.4928   -6597.3801  0.2682 
   00010    0.4932   -6768.6279  0.2723 
   00011    0.4736   -6841.2774  0.2679 
   00012    0.4680   -6948.4017  0.2644 
   00013    0.4788   -7035.7732  0.2671 
   00014    0.4628   -7141.5567  0.2651 
   00015    0.4716   -7208.5146  0.2714 
   00016    0.4688   -7307.1456  0.2699 
   00017    0.4524   -7333.1359  0.2756 
   00018    0.4456   -7390.4012  0.2736 
   00019    0.4448   -7477.3029  0.2665 
   00020    0.4460   -7544.6591  0.2699 
   00021    0.4372   -7564.9345  0.2764 
   00022    0.4384   -7610.9012  0.2841 
   00023    0.4528   -7607.2519  0.2890 
   00024    0.4360   -7675.6960  0.2986 
   00025    0.4564   -7700.2136  0.2888 
   00026    0.4372   -7750.1855  0.2891 
   00027    0.4388   -7778.1703  0.2823 
   00028    0.4472   -7801.7233  0.2793 
   00029    0.4332   -7829.2957  0.2839 
   00030    0.4328   -7805.8607  0.2838 
   00031    0.4464   -7881.1333  0.2818 
   00032    0.4376   -7850.4036  0.2896 
   00033    0.4148   -7861.1656  0.2860 
   00034    0.4552   -7893.4847  0.2886 
   00035    0.4244   -7881.1563  0.2840 
   00036    0.4500   -7866.2904  0.2832 
   00037    0.4320   -7901.4857  0.2862 
   00038    0.4276   -7926.7192  0.2781 
   00039    0.4368   -7985.4319  0.2734 
   00040    0.4208   -7976.3220  0.2783 
   00041    0.4264   -8036.6206  0.2722 
   00042    0.3952   -8056.9623  0.2779 
   00043    0.4380   -8039.3951  0.2814 
   00044    0.4180   -8131.9063  0.2841 
   00045    0.4148   -8153.6463  0.2932 
   00046    0.4296   -8104.4415  0.3018 
   00047    0.4184   -8153.0307  0.3063 
   00048    0.4152   -8152.8519  0.3062 
   00049    0.4148   -8148.5924  0.3100 
   00050    0.4236   -8137.8515  0.3108 
