#=====================================================
# File created:        Mon-11-Mar-2024-at-03-15-05PM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        0.437637
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2636.9856  0.2615 
   00001    0.6720   -3789.6592  0.2815 
   00002    0.6144   -4530.9692  0.2799 
   00003    0.5608   -5034.9082  0.2920 
   00004    0.5528   -5452.0757  0.2946 
   00005    0.5348   -5772.4351  0.2815 
   00006    0.5184   -6022.7188  0.2864 
   00007    0.5080   -6216.0708  0.2888 
   00008    0.5044   -6402.5649  0.2917 
   00009    0.5048   -6582.3228  0.2955 
   00010    0.4848   -6686.3735  0.2964 
   00011    0.4920   -6798.1484  0.3002 
   00012    0.4804   -6913.7017  0.3021 
   00013    0.4592   -6954.5361  0.3131 
   00014    0.4684   -7085.9375  0.3140 
   00015    0.4756   -7137.7749  0.3139 
   00016    0.4488   -7230.4634  0.3182 
   00017    0.4440   -7324.2388  0.3203 
   00018    0.4652   -7342.6597  0.3223 
   00019    0.4576   -7410.4736  0.3241 
   00020    0.4544   -7476.1714  0.3211 
   00021    0.4668   -7469.3984  0.3160 
   00022    0.4644   -7467.5757  0.3211 
   00023    0.4532   -7507.7241  0.3202 
   00024    0.4760   -7521.0649  0.3199 
   00025    0.4508   -7565.3794  0.3125 
   00026    0.4516   -7644.9863  0.3083 
   00027    0.4460   -7686.0244  0.3055 
   00028    0.4412   -7764.3535  0.2976 
   00029    0.4652   -7769.2769  0.2959 
   00030    0.4192   -7771.6260  0.2943 
   00031    0.4264   -7831.6953  0.2995 
   00032    0.4436   -7893.5308  0.3040 
   00033    0.4296   -7938.8257  0.3044 
   00034    0.4220   -7936.5161  0.3005 
   00035    0.4488   -7936.1323  0.3033 
   00036    0.4380   -7956.5151  0.3090 
   00037    0.4396   -7984.7539  0.3127 
   00038    0.4384   -8024.4634  0.3086 
   00039    0.4192   -8012.5103  0.3039 
   00040    0.4172   -7982.8472  0.3071 
   00041    0.4188   -8021.4365  0.3061 
   00042    0.4328   -8044.6055  0.3130 
   00043    0.4320   -8044.6396  0.3119 
   00044    0.4228   -8042.4551  0.3162 
   00045    0.4284   -8091.2734  0.3224 
   00046    0.4388   -8138.1436  0.3180 
   00047    0.4300   -8138.4155  0.3212 
   00048    0.4264   -8138.5864  0.3228 
   00049    0.4192   -8174.7202  0.3182 
   00050    0.4408   -8149.5083  0.3160 
   00051    0.4412   -8141.5923  0.3223 
   00052    0.4132   -8171.6157  0.3173 
   00053    0.4264   -8170.7974  0.3253 
   00054    0.4268   -8181.8638  0.3281 
   00055    0.4148   -8173.0464  0.3255 
   00056    0.4364   -8164.2964  0.3308 
   00057    0.4504   -8207.5146  0.3288 
   00058    0.4452   -8224.7979  0.3244 
   00059    0.4244   -8193.2021  0.3176 
   00060    0.4284   -8264.3193  0.3148 
   00061    0.4136   -8224.5469  0.3216 
   00062    0.4312   -8246.5361  0.3206 
   00063    0.4392   -8228.6699  0.3200 
   00064    0.4260   -8205.7607  0.3166 
   00065    0.4168   -8196.4619  0.3198 
   00066    0.4380   -8219.1494  0.3202 
   00067    0.4260   -8257.2939  0.3181 
   00068    0.4356   -8275.3096  0.3151 
   00069    0.4400   -8262.1123  0.3146 
   00070    0.4120   -8257.9512  0.3063 
   00071    0.4184   -8238.7178  0.3125 
   00072    0.4136   -8270.0254  0.3042 
   00073    0.4156   -8273.0078  0.2994 
   00074    0.4248   -8307.2451  0.3021 
   00075    0.4144   -8282.6172  0.2998 
   00076    0.4156   -8261.2197  0.2989 
   00077    0.4272   -8273.5693  0.2962 
   00078    0.4264   -8228.9590  0.3009 
   00079    0.4312   -8237.5947  0.2961 
   00080    0.4296   -8215.0146  0.3050 
   00081    0.4252   -8219.4287  0.3105 
   00082    0.4256   -8212.8604  0.3108 
   00083    0.4284   -8259.2998  0.3116 
   00084    0.4216   -8248.7471  0.3104 
   00085    0.4128   -8228.1992  0.3115 
   00086    0.4316   -8234.9160  0.3131 
   00087    0.4296   -8242.0010  0.3148 
   00088    0.4164   -8265.1865  0.3242 
   00089    0.4232   -8281.8730  0.3276 
   00090    0.4092   -8285.2139  0.3306 
   00091    0.4432   -8296.0010  0.3333 
   00092    0.4336   -8325.9092  0.3364 
   00093    0.4284   -8283.9980  0.3416 
   00094    0.4128   -8285.2275  0.3364 
   00095    0.4356   -8314.2617  0.3389 
   00096    0.4028   -8307.5020  0.3328 
   00097    0.4372   -8346.7998  0.3285 
   00098    0.3960   -8374.4854  0.3298 
   00099    0.4084   -8367.2100  0.3279 
   00100    0.4124   -8353.6191  0.3265 
