#=====================================================
# File created:        Wed-06-Mar-2024-at-02-58-08PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.382372
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2389.9993  0.2779 
   00001    0.6880   -3675.0232  0.2802 
   00002    0.6316   -4434.2481  0.2730 
   00003    0.5940   -5077.2326  0.2748 
   00004    0.5528   -5535.7267  0.2642 
   00005    0.5260   -5910.7055  0.2712 
   00006    0.5316   -6100.1829  0.2830 
   00007    0.5188   -6394.5743  0.2850 
   00008    0.5180   -6634.8071  0.2840 
   00009    0.4784   -6753.9161  0.2852 
   00010    0.4740   -6893.0057  0.2912 
   00011    0.4928   -6975.4593  0.2949 
   00012    0.4864   -7047.6663  0.2895 
   00013    0.4768   -7140.6513  0.2881 
   00014    0.4704   -7223.5858  0.2937 
   00015    0.4712   -7313.8829  0.3002 
   00016    0.4692   -7371.9135  0.2997 
   00017    0.4652   -7445.2128  0.2959 
   00018    0.4500   -7523.4974  0.2977 
   00019    0.4504   -7522.2002  0.3031 
   00020    0.4428   -7543.0404  0.2997 
   00021    0.4468   -7628.1388  0.3083 
   00022    0.4344   -7653.0632  0.3139 
   00023    0.4444   -7685.8367  0.3156 
   00024    0.4236   -7766.4881  0.3143 
   00025    0.4384   -7758.0840  0.3107 
   00026    0.4380   -7835.4485  0.3145 
   00027    0.4332   -7844.2910  0.3239 
   00028    0.4496   -7856.1184  0.3356 
   00029    0.4348   -7873.1220  0.3391 
   00030    0.4292   -7849.1179  0.3425 
   00031    0.4388   -7937.5901  0.3440 
   00032    0.4292   -7923.2750  0.3480 
   00033    0.4300   -7980.6867  0.3576 
   00034    0.4364   -8023.3970  0.3580 
   00035    0.4188   -8049.9290  0.3621 
   00036    0.4336   -8059.8160  0.3630 
   00037    0.4332   -8074.3855  0.3672 
   00038    0.4172   -8073.2051  0.3640 
   00039    0.4368   -8061.9753  0.3628 
   00040    0.4120   -8061.2916  0.3647 
   00041    0.4376   -8085.4524  0.3697 
   00042    0.4208   -8086.5803  0.3640 
   00043    0.4460   -8069.2799  0.3555 
   00044    0.4296   -8090.2493  0.3575 
   00045    0.4284   -8079.0829  0.3621 
   00046    0.4328   -8110.7185  0.3687 
   00047    0.4352   -8106.7741  0.3567 
   00048    0.4440   -8110.4238  0.3615 
   00049    0.4200   -8116.8246  0.3652 
   00050    0.4164   -8155.5628  0.3565 
