#=====================================================
# File created:        Mon-11-Mar-2024-at-05-06-39PM
# Size of lattice:     50x50
# Number of MC steps:  25
# Reduced temperature: 0.500
# Run time (s):        0.516314
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2504.3456  0.2544 
   00001    0.6792   -3738.6875  0.2553 
   00002    0.6252   -4576.4097  0.2523 
   00003    0.5972   -5140.2829  0.2517 
   00004    0.5376   -5506.8791  0.2520 
   00005    0.5368   -5834.0514  0.2600 
   00006    0.5324   -6083.8750  0.2682 
   00007    0.5000   -6369.3154  0.2691 
   00008    0.4992   -6599.4686  0.2671 
   00009    0.4792   -6716.9505  0.2833 
   00010    0.4872   -6870.5899  0.2845 
   00011    0.4740   -7026.8637  0.2889 
   00012    0.4596   -7109.4408  0.2857 
   00013    0.4488   -7162.5303  0.2858 
   00014    0.4608   -7232.1542  0.2914 
   00015    0.4532   -7283.1786  0.2916 
   00016    0.4516   -7366.2163  0.2964 
   00017    0.4616   -7451.4473  0.2967 
   00018    0.4436   -7503.8473  0.2966 
   00019    0.4484   -7468.6847  0.2972 
   00020    0.4452   -7489.2980  0.2905 
   00021    0.4420   -7523.5762  0.2990 
   00022    0.4596   -7572.9154  0.2961 
   00023    0.4480   -7639.2555  0.2912 
   00024    0.4512   -7690.4513  0.2913 
   00025    0.4460   -7740.5321  0.2906 
