#=====================================================
# File created:        Sun-03-Mar-2024-at-12-57-43PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.702739
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2418.2884  0.2617 
   00001    0.6716   -3654.6884  0.2609 
   00002    0.6196   -4557.2862  0.2738 
   00003    0.5912   -5198.2509  0.2705 
   00004    0.5576   -5630.7064  0.2851 
   00005    0.5348   -5944.3274  0.2942 
   00006    0.5292   -6152.9962  0.2996 
   00007    0.4936   -6436.0761  0.3038 
   00008    0.5032   -6592.3944  0.3223 
   00009    0.4896   -6731.5927  0.3257 
   00010    0.4796   -6902.5773  0.3182 
   00011    0.4828   -6939.3825  0.3182 
   00012    0.4832   -7056.6640  0.3132 
   00013    0.4784   -7118.2252  0.3117 
   00014    0.4668   -7204.6079  0.3183 
   00015    0.4388   -7244.0414  0.3215 
   00016    0.4612   -7303.7361  0.3214 
   00017    0.4872   -7342.9457  0.3229 
   00018    0.4596   -7378.9004  0.3208 
   00019    0.4548   -7432.8385  0.3203 
   00020    0.4464   -7518.3863  0.3276 
   00021    0.4428   -7540.9195  0.3229 
   00022    0.4468   -7560.8397  0.3278 
   00023    0.4484   -7583.1769  0.3276 
   00024    0.4436   -7638.9013  0.3289 
   00025    0.4332   -7669.3557  0.3300 
   00026    0.4484   -7695.3915  0.3319 
   00027    0.4388   -7729.7786  0.3295 
   00028    0.4452   -7736.2609  0.3295 
   00029    0.4372   -7747.9650  0.3309 
   00030    0.4408   -7727.5294  0.3328 
   00031    0.4384   -7745.2810  0.3410 
   00032    0.4472   -7805.5729  0.3444 
   00033    0.4284   -7821.6507  0.3481 
   00034    0.4436   -7832.2316  0.3454 
   00035    0.4412   -7836.8889  0.3513 
   00036    0.4388   -7910.0034  0.3541 
   00037    0.4300   -7932.1186  0.3583 
   00038    0.4416   -7954.7069  0.3473 
   00039    0.4364   -7975.1953  0.3459 
   00040    0.4160   -7967.8263  0.3449 
   00041    0.4424   -7972.3545  0.3455 
   00042    0.4340   -7920.8584  0.3477 
   00043    0.4256   -7972.0039  0.3530 
   00044    0.4300   -8027.8546  0.3638 
   00045    0.4216   -8044.6560  0.3634 
   00046    0.4352   -8022.8338  0.3642 
   00047    0.4196   -8003.2774  0.3644 
   00048    0.4164   -8038.8910  0.3647 
   00049    0.4336   -8068.7319  0.3619 
   00050    0.4224   -8101.3548  0.3625 
