#=====================================================
# File created:        Sat-09-Mar-2024-at-07-11-47PM
# Size of lattice:     25x25
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.600201
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -659.8538  0.2871 
   00001    0.6960    -934.8278  0.2943 
   00002    0.6096   -1141.3101  0.3059 
   00003    0.5776   -1255.9946  0.3013 
   00004    0.5536   -1329.5113  0.3213 
   00005    0.5744   -1436.3651  0.3195 
   00006    0.4864   -1504.1281  0.3268 
   00007    0.5232   -1583.0001  0.3333 
   00008    0.5104   -1634.8971  0.3419 
   00009    0.4896   -1647.3336  0.3269 
   00010    0.4688   -1674.2873  0.3163 
   00011    0.4928   -1742.9703  0.3167 
   00012    0.4624   -1775.1449  0.3285 
   00013    0.4624   -1797.1244  0.3252 
   00014    0.4688   -1814.4033  0.3255 
   00015    0.4512   -1848.7037  0.3275 
   00016    0.5008   -1848.4187  0.3413 
   00017    0.4304   -1846.8253  0.3501 
   00018    0.4464   -1856.5899  0.3686 
   00019    0.4080   -1887.7313  0.3699 
   00020    0.4688   -1868.4226  0.3737 
   00021    0.4432   -1885.8833  0.3686 
   00022    0.4704   -1861.1075  0.3517 
   00023    0.4464   -1864.7660  0.3650 
   00024    0.4560   -1874.9033  0.3658 
   00025    0.4112   -1896.5349  0.3607 
   00026    0.4304   -1897.5184  0.3700 
   00027    0.4656   -1925.6951  0.3649 
   00028    0.4352   -1936.7954  0.3603 
   00029    0.4576   -1946.4485  0.3545 
   00030    0.4240   -1957.5895  0.3695 
   00031    0.4352   -1957.7688  0.3636 
   00032    0.4720   -1957.6655  0.3499 
   00033    0.4576   -1965.1910  0.3515 
   00034    0.4192   -1978.2655  0.3509 
   00035    0.4112   -1989.9365  0.3496 
   00036    0.4464   -1984.1757  0.3357 
   00037    0.4288   -2007.9971  0.3491 
   00038    0.4496   -1992.5920  0.3505 
   00039    0.4608   -1984.8891  0.3464 
   00040    0.4656   -2012.3220  0.3507 
   00041    0.4288   -2013.5976  0.3557 
   00042    0.3760   -2019.5260  0.3571 
   00043    0.3808   -2020.1126  0.3570 
   00044    0.4160   -2015.2676  0.3619 
   00045    0.4352   -2013.2907  0.3654 
   00046    0.4192   -2036.1982  0.3659 
   00047    0.4512   -2033.0810  0.3567 
   00048    0.4656   -2034.4195  0.3590 
   00049    0.4112   -2035.9309  0.3586 
   00050    0.4016   -2040.2668  0.3581 
