#=====================================================
# File created:        Thu-07-Mar-2024-at-01-21-18PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.658102
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2528.3148  0.2660 
   00001    0.6808   -3604.1643  0.2729 
   00002    0.6164   -4452.8175  0.2702 
   00003    0.5872   -4998.4785  0.2798 
   00004    0.5548   -5494.4713  0.2824 
   00005    0.5340   -5883.6834  0.2869 
   00006    0.5228   -6157.8414  0.2804 
   00007    0.5060   -6332.4842  0.2892 
   00008    0.5052   -6513.8681  0.2973 
   00009    0.4916   -6678.1806  0.3024 
   00010    0.4808   -6771.4854  0.3113 
   00011    0.4652   -6855.3301  0.3055 
   00012    0.4848   -6918.8936  0.3081 
   00013    0.4708   -7090.4037  0.3124 
   00014    0.4692   -7172.7325  0.3153 
   00015    0.4700   -7280.5031  0.3218 
   00016    0.4588   -7351.8817  0.3271 
   00017    0.4692   -7379.8533  0.3258 
   00018    0.4576   -7521.7343  0.3259 
   00019    0.4492   -7559.5682  0.3321 
   00020    0.4448   -7619.0733  0.3336 
   00021    0.4596   -7666.1604  0.3396 
   00022    0.4368   -7669.8367  0.3318 
   00023    0.4496   -7728.7828  0.3272 
   00024    0.4396   -7802.5569  0.3221 
   00025    0.4444   -7820.2603  0.3269 
   00026    0.4456   -7817.7523  0.3281 
   00027    0.4620   -7874.3017  0.3334 
   00028    0.4464   -7886.2143  0.3359 
   00029    0.4364   -7874.1549  0.3286 
   00030    0.4360   -7911.1970  0.3300 
   00031    0.4240   -7953.4924  0.3382 
   00032    0.4436   -7948.2075  0.3398 
   00033    0.4540   -7965.9232  0.3403 
   00034    0.4320   -8035.4142  0.3431 
   00035    0.4384   -8028.8120  0.3440 
   00036    0.4252   -8018.8051  0.3356 
   00037    0.4280   -8007.0593  0.3330 
   00038    0.4296   -8026.5075  0.3361 
   00039    0.4300   -8037.4699  0.3374 
   00040    0.4336   -8075.6362  0.3375 
   00041    0.4192   -8150.4287  0.3376 
   00042    0.4156   -8116.5113  0.3404 
   00043    0.4296   -8075.7618  0.3361 
   00044    0.4204   -8098.0014  0.3360 
   00045    0.4324   -8130.4014  0.3447 
   00046    0.4244   -8137.7436  0.3432 
   00047    0.4360   -8142.0821  0.3479 
   00048    0.4060   -8142.7530  0.3441 
   00049    0.4424   -8124.5523  0.3406 
   00050    0.4244   -8092.4945  0.3424 
