#=====================================================
# File created:        Mon-11-Mar-2024-at-02-20-49PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.253789
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2422.9702  0.2575 
   00001    0.6856   -3717.7045  0.2592 
   00002    0.6432   -4485.5019  0.2605 
   00003    0.5992   -5063.4905  0.2705 
   00004    0.5520   -5551.1976  0.2688 
   00005    0.5292   -5917.4272  0.2703 
   00006    0.5176   -6163.6853  0.2733 
   00007    0.5032   -6403.7752  0.2795 
   00008    0.5116   -6566.3595  0.2828 
   00009    0.4956   -6773.5279  0.2865 
   00010    0.4700   -6929.0235  0.2884 
   00011    0.4820   -6989.5221  0.2966 
   00012    0.4672   -7107.3212  0.2961 
   00013    0.4612   -7218.3300  0.3009 
   00014    0.4664   -7302.3798  0.3001 
   00015    0.4680   -7362.3399  0.3079 
   00016    0.4360   -7456.5259  0.3166 
   00017    0.4564   -7517.4964  0.3285 
   00018    0.4548   -7561.0229  0.3248 
   00019    0.4392   -7677.2947  0.3197 
   00020    0.4292   -7722.1810  0.3222 
   00021    0.4404   -7743.6769  0.3211 
   00022    0.4584   -7742.5645  0.3253 
   00023    0.4504   -7764.4427  0.3392 
   00024    0.4360   -7798.8048  0.3382 
   00025    0.4380   -7828.3989  0.3400 
   00026    0.4296   -7831.2525  0.3427 
   00027    0.4416   -7840.4351  0.3422 
   00028    0.4500   -7848.1657  0.3486 
   00029    0.4492   -7880.8400  0.3511 
   00030    0.4400   -7892.6355  0.3534 
   00031    0.4308   -7926.9910  0.3578 
   00032    0.4452   -7969.8828  0.3556 
   00033    0.4336   -8029.2853  0.3579 
   00034    0.4260   -8090.9589  0.3630 
   00035    0.4160   -8109.5618  0.3569 
   00036    0.4264   -8101.3963  0.3602 
   00037    0.4164   -8079.4284  0.3650 
   00038    0.3984   -8083.2341  0.3669 
   00039    0.4236   -8114.2881  0.3727 
   00040    0.4112   -8102.2139  0.3710 
   00041    0.4252   -8105.1853  0.3754 
   00042    0.4292   -8136.9676  0.3786 
   00043    0.4340   -8082.1661  0.3796 
   00044    0.4208   -8118.1326  0.3835 
   00045    0.4272   -8104.0052  0.3801 
   00046    0.4156   -8161.0204  0.3816 
   00047    0.4228   -8189.6669  0.3755 
   00048    0.4228   -8155.2243  0.3788 
   00049    0.4272   -8138.4787  0.3714 
   00050    0.4276   -8176.3741  0.3664 
