#=====================================================
# File created:        Wed-06-Mar-2024-at-02-58-37PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.291900
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2444.3531  0.2722 
   00001    0.6848   -3736.3547  0.2827 
   00002    0.6244   -4517.4365  0.2832 
   00003    0.5836   -5051.6734  0.2926 
   00004    0.5624   -5454.2860  0.3004 
   00005    0.5500   -5862.6648  0.3078 
   00006    0.5132   -6149.5103  0.3044 
   00007    0.5232   -6337.3029  0.3009 
   00008    0.4812   -6577.5695  0.2989 
   00009    0.4836   -6770.6590  0.3011 
   00010    0.4920   -6926.8298  0.2964 
   00011    0.4800   -7047.9028  0.2941 
   00012    0.4720   -7161.2149  0.2962 
   00013    0.4612   -7231.7438  0.3066 
   00014    0.4668   -7246.3654  0.3210 
   00015    0.4752   -7286.6826  0.3252 
   00016    0.4740   -7364.1871  0.3271 
   00017    0.4584   -7420.1421  0.3319 
   00018    0.4448   -7479.1214  0.3373 
   00019    0.4648   -7577.8753  0.3349 
   00020    0.4532   -7580.8759  0.3402 
   00021    0.4400   -7650.4155  0.3396 
   00022    0.4464   -7656.0246  0.3387 
   00023    0.4452   -7715.5153  0.3410 
   00024    0.4452   -7736.2137  0.3454 
   00025    0.4404   -7764.5290  0.3485 
   00026    0.4328   -7759.5469  0.3545 
   00027    0.4372   -7800.0922  0.3617 
   00028    0.4532   -7838.5875  0.3674 
   00029    0.4392   -7821.3310  0.3714 
   00030    0.4236   -7851.9024  0.3740 
   00031    0.4400   -7888.4214  0.3799 
   00032    0.4288   -7862.9536  0.3822 
   00033    0.4344   -7884.2927  0.3926 
   00034    0.4336   -7924.3913  0.3879 
   00035    0.4488   -7919.4541  0.3951 
   00036    0.4340   -7915.2138  0.4017 
   00037    0.4332   -7914.9529  0.4004 
   00038    0.4460   -7901.8915  0.3986 
   00039    0.4428   -7926.1985  0.4032 
   00040    0.4204   -7916.0141  0.4018 
   00041    0.4352   -7981.6645  0.3985 
   00042    0.4320   -7942.9405  0.3912 
   00043    0.4400   -7953.7053  0.3868 
   00044    0.4076   -7984.3921  0.3932 
   00045    0.4340   -7987.2437  0.3991 
   00046    0.4296   -7998.4591  0.3981 
   00047    0.4276   -8014.5905  0.3926 
   00048    0.4156   -8026.7447  0.3972 
   00049    0.4228   -8001.4312  0.3940 
   00050    0.4164   -8044.5025  0.4013 
