#=====================================================
# File created:        Mon-11-Mar-2024-at-02-34-34PM
# Size of lattice:     50x50
# Number of MC steps:  250
# Reduced temperature: 0.500
# Run time (s):        15.295724
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2557.4695  0.2544 
   00001    0.6848   -3693.6641  0.2636 
   00002    0.6148   -4544.3383  0.2752 
   00003    0.5988   -5156.0016  0.2877 
   00004    0.5336   -5549.6666  0.2884 
   00005    0.5516   -5928.1098  0.2938 
   00006    0.4972   -6224.4738  0.2942 
   00007    0.5096   -6441.9035  0.3055 
   00008    0.4968   -6643.8732  0.3120 
   00009    0.4804   -6793.3339  0.3073 
   00010    0.4864   -6942.4578  0.3034 
   00011    0.4668   -6987.1775  0.3159 
   00012    0.4648   -7124.2163  0.3206 
   00013    0.4736   -7222.3593  0.3259 
   00014    0.4580   -7351.6774  0.3303 
   00015    0.4492   -7427.2542  0.3322 
   00016    0.4500   -7516.3354  0.3370 
   00017    0.4548   -7524.3451  0.3388 
   00018    0.4564   -7567.4346  0.3373 
   00019    0.4284   -7612.1300  0.3397 
   00020    0.4316   -7658.2159  0.3486 
   00021    0.4328   -7658.6593  0.3509 
   00022    0.4476   -7731.1309  0.3559 
   00023    0.4468   -7822.6929  0.3576 
   00024    0.4300   -7814.9955  0.3559 
   00025    0.4248   -7817.4764  0.3534 
   00026    0.4400   -7834.4387  0.3574 
   00027    0.4444   -7827.3835  0.3546 
   00028    0.4444   -7848.6426  0.3570 
   00029    0.4332   -7890.5702  0.3578 
   00030    0.4392   -7907.6792  0.3571 
   00031    0.4428   -7923.4879  0.3573 
   00032    0.4404   -7937.2457  0.3546 
   00033    0.4244   -7998.8620  0.3526 
   00034    0.4348   -7987.4905  0.3559 
   00035    0.4256   -8035.3551  0.3452 
   00036    0.4280   -8016.2933  0.3429 
   00037    0.4228   -8039.5935  0.3457 
   00038    0.4368   -8050.6870  0.3449 
   00039    0.4240   -8079.9420  0.3515 
   00040    0.4320   -8073.7422  0.3534 
   00041    0.4216   -8061.8147  0.3552 
   00042    0.4184   -8027.1105  0.3627 
   00043    0.4240   -8032.5364  0.3695 
   00044    0.4392   -8036.3285  0.3676 
   00045    0.4304   -8052.1694  0.3663 
   00046    0.4228   -8074.7999  0.3600 
   00047    0.4448   -8076.4227  0.3599 
   00048    0.4188   -8193.6643  0.3633 
   00049    0.4052   -8186.9900  0.3622 
   00050    0.4204   -8159.8987  0.3601 
   00051    0.4184   -8160.9921  0.3527 
   00052    0.4144   -8139.1309  0.3563 
   00053    0.4144   -8156.1496  0.3610 
   00054    0.4200   -8179.3096  0.3672 
   00055    0.4344   -8181.5231  0.3676 
   00056    0.4276   -8245.9543  0.3769 
   00057    0.4264   -8241.3761  0.3732 
   00058    0.4360   -8214.1966  0.3739 
   00059    0.4316   -8205.0702  0.3793 
   00060    0.4280   -8235.7801  0.3774 
   00061    0.4192   -8241.0698  0.3823 
   00062    0.4080   -8245.7880  0.3861 
   00063    0.4024   -8253.9146  0.3881 
   00064    0.4152   -8245.5254  0.3776 
   00065    0.4008   -8252.7898  0.3819 
   00066    0.4308   -8271.4999  0.3815 
   00067    0.4220   -8276.1437  0.3920 
   00068    0.4248   -8279.0553  0.3906 
   00069    0.4140   -8316.1228  0.3965 
   00070    0.4248   -8306.5080  0.3960 
   00071    0.4208   -8260.7434  0.3967 
   00072    0.4044   -8267.6391  0.3977 
   00073    0.4240   -8306.2247  0.4022 
   00074    0.4064   -8306.5439  0.4004 
   00075    0.4224   -8255.4078  0.4031 
   00076    0.4244   -8286.4051  0.4062 
   00077    0.4408   -8340.0067  0.4158 
   00078    0.4176   -8329.1667  0.4118 
   00079    0.4172   -8288.5740  0.4082 
   00080    0.4316   -8314.6178  0.4166 
   00081    0.4116   -8369.8791  0.4165 
   00082    0.4384   -8365.1072  0.4129 
   00083    0.4344   -8375.1321  0.4155 
   00084    0.4196   -8404.7348  0.4155 
   00085    0.4164   -8447.0818  0.4166 
   00086    0.4128   -8418.9206  0.4110 
   00087    0.4240   -8407.9103  0.4129 
   00088    0.4076   -8394.8072  0.4138 
   00089    0.4112   -8352.9495  0.4134 
   00090    0.4168   -8300.5765  0.4102 
   00091    0.4104   -8310.2543  0.4129 
   00092    0.4276   -8315.3725  0.4103 
   00093    0.4188   -8350.6044  0.4135 
   00094    0.4108   -8372.8156  0.4150 
   00095    0.4180   -8377.1174  0.4166 
   00096    0.4220   -8462.0647  0.4148 
   00097    0.4156   -8450.9289  0.4123 
   00098    0.4124   -8422.2166  0.4050 
   00099    0.4052   -8410.1171  0.3973 
   00100    0.4148   -8390.8498  0.4024 
   00101    0.4300   -8372.5115  0.3994 
   00102    0.4144   -8325.9670  0.3962 
   00103    0.4372   -8324.8030  0.3987 
   00104    0.4224   -8332.3276  0.3955 
   00105    0.4156   -8386.8362  0.3986 
   00106    0.4244   -8360.4522  0.3975 
   00107    0.4140   -8371.2897  0.4025 
   00108    0.4184   -8381.8040  0.4008 
   00109    0.4048   -8368.6590  0.3989 
   00110    0.4108   -8332.6435  0.4029 
   00111    0.4076   -8345.6022  0.4089 
   00112    0.4272   -8363.3797  0.4048 
   00113    0.4236   -8353.9605  0.4077 
   00114    0.4168   -8359.4267  0.4043 
   00115    0.4272   -8321.6310  0.4015 
   00116    0.4148   -8338.3545  0.3954 
   00117    0.4140   -8302.6185  0.3922 
   00118    0.4368   -8283.6049  0.3972 
   00119    0.4196   -8319.2801  0.3967 
   00120    0.4240   -8277.9177  0.3969 
   00121    0.4240   -8315.0447  0.4022 
   00122    0.4128   -8329.9708  0.4031 
   00123    0.4304   -8326.0259  0.4015 
   00124    0.4188   -8333.0331  0.4077 
   00125    0.4224   -8315.4239  0.4103 
   00126    0.4264   -8325.9287  0.4125 
   00127    0.4296   -8309.7480  0.4118 
   00128    0.4168   -8306.0865  0.4121 
   00129    0.3976   -8308.6381  0.4146 
   00130    0.3972   -8279.1782  0.4123 
   00131    0.4176   -8303.8885  0.4134 
   00132    0.4096   -8291.3613  0.4160 
   00133    0.4260   -8316.7047  0.4173 
   00134    0.4268   -8368.3668  0.4110 
   00135    0.4100   -8371.7190  0.4142 
   00136    0.4232   -8391.2776  0.4083 
   00137    0.4136   -8423.3874  0.4078 
   00138    0.4220   -8376.0150  0.4087 
   00139    0.4108   -8339.4814  0.4125 
   00140    0.4188   -8351.6691  0.4101 
   00141    0.4144   -8383.8730  0.4151 
   00142    0.4180   -8420.7195  0.4118 
   00143    0.4096   -8445.6146  0.4182 
   00144    0.4064   -8426.4488  0.4182 
   00145    0.4228   -8466.7358  0.4275 
   00146    0.4160   -8458.6425  0.4290 
   00147    0.4220   -8479.7862  0.4371 
   00148    0.4084   -8454.9419  0.4400 
   00149    0.4236   -8427.5492  0.4448 
   00150    0.4068   -8450.1137  0.4469 
   00151    0.4072   -8461.5289  0.4426 
   00152    0.4148   -8405.4949  0.4394 
   00153    0.4172   -8403.9283  0.4425 
   00154    0.4200   -8373.5725  0.4467 
   00155    0.4500   -8332.9007  0.4492 
   00156    0.4312   -8365.8492  0.4486 
   00157    0.4120   -8357.5695  0.4520 
   00158    0.4168   -8406.6998  0.4522 
