#=====================================================
# File created:        Sat-09-Mar-2024-at-05-29-44PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        6.904641
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10120.5416  0.2569 
   00001    0.6801  -14978.7446  0.2581 
   00002    0.6277  -18150.2434  0.2636 
   00003    0.5863  -20469.8887  0.2656 
   00004    0.5558  -22099.8977  0.2677 
   00005    0.5229  -23501.8298  0.2701 
   00006    0.5197  -24589.9447  0.2691 
   00007    0.5134  -25414.3305  0.2719 
   00008    0.4927  -26187.4113  0.2726 
   00009    0.4848  -26819.4675  0.2672 
   00010    0.4758  -27354.4875  0.2706 
   00011    0.4762  -27764.5650  0.2717 
   00012    0.4695  -28230.8579  0.2707 
   00013    0.4666  -28586.8478  0.2752 
   00014    0.4534  -28990.8703  0.2729 
   00015    0.4592  -29255.3854  0.2785 
   00016    0.4614  -29499.1108  0.2834 
   00017    0.4641  -29785.7575  0.2876 
   00018    0.4509  -29975.3804  0.2866 
   00019    0.4551  -30292.2487  0.2899 
   00020    0.4520  -30408.6884  0.2911 
   00021    0.4470  -30546.7474  0.2867 
   00022    0.4458  -30712.8937  0.2862 
   00023    0.4473  -30908.8494  0.2891 
   00024    0.4457  -30997.6875  0.2880 
   00025    0.4368  -31139.3483  0.2887 
   00026    0.4392  -31107.0489  0.2869 
   00027    0.4421  -31179.9209  0.2877 
   00028    0.4415  -31302.8713  0.2889 
   00029    0.4301  -31423.3045  0.2852 
   00030    0.4294  -31509.5890  0.2888 
   00031    0.4328  -31648.7254  0.2894 
   00032    0.4373  -31720.9876  0.2880 
   00033    0.4414  -31734.2294  0.2896 
   00034    0.4355  -31763.2260  0.2883 
   00035    0.4405  -31805.2882  0.2913 
   00036    0.4290  -31937.0432  0.2908 
   00037    0.4266  -32004.5558  0.2878 
   00038    0.4261  -32103.2456  0.2885 
   00039    0.4261  -32079.7323  0.2855 
   00040    0.4231  -32144.6961  0.2847 
   00041    0.4288  -32120.1393  0.2869 
   00042    0.4221  -32259.2179  0.2887 
   00043    0.4222  -32321.9480  0.2917 
   00044    0.4286  -32340.2203  0.2936 
   00045    0.4227  -32402.0971  0.2945 
   00046    0.4269  -32365.9749  0.2925 
   00047    0.4257  -32283.6487  0.2917 
   00048    0.4283  -32327.6943  0.2896 
   00049    0.4158  -32328.8184  0.2889 
   00050    0.4207  -32314.7057  0.2876 
