#=====================================================
# File created:        Sat-09-Mar-2024-at-05-13-30PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.709296
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2363.8715  0.2640 
   00001    0.6872   -3711.3590  0.2650 
   00002    0.6116   -4414.5022  0.2716 
   00003    0.6040   -4969.7296  0.2670 
   00004    0.5812   -5382.3114  0.2673 
   00005    0.5428   -5808.3486  0.2761 
   00006    0.5076   -6140.7220  0.2825 
   00007    0.5128   -6400.6234  0.2905 
   00008    0.4960   -6618.6891  0.2973 
   00009    0.4844   -6838.3524  0.3078 
   00010    0.4728   -6942.1216  0.3119 
   00011    0.4872   -7045.9093  0.3169 
   00012    0.4732   -7136.0956  0.3149 
   00013    0.4584   -7165.4604  0.3160 
   00014    0.4576   -7223.0122  0.3178 
   00015    0.4652   -7261.2217  0.3098 
   00016    0.4668   -7310.6181  0.3055 
   00017    0.4692   -7354.3751  0.3118 
   00018    0.4644   -7421.2428  0.3159 
   00019    0.4480   -7441.7524  0.3225 
   00020    0.4604   -7515.2436  0.3265 
   00021    0.4516   -7568.3041  0.3291 
   00022    0.4472   -7606.0561  0.3220 
   00023    0.4420   -7628.0107  0.3266 
   00024    0.4632   -7633.4769  0.3306 
   00025    0.4380   -7630.2262  0.3269 
   00026    0.4704   -7700.0005  0.3304 
   00027    0.4376   -7750.7341  0.3361 
   00028    0.4392   -7787.7287  0.3389 
   00029    0.4316   -7798.3468  0.3366 
   00030    0.4348   -7832.5745  0.3414 
   00031    0.4412   -7814.7057  0.3386 
   00032    0.4316   -7867.7379  0.3434 
   00033    0.4264   -7918.4645  0.3403 
   00034    0.4344   -7903.4485  0.3347 
   00035    0.4452   -7963.9334  0.3368 
   00036    0.4276   -7949.5666  0.3407 
   00037    0.4316   -7952.1381  0.3373 
   00038    0.4244   -7984.7897  0.3512 
   00039    0.4388   -7998.9106  0.3536 
   00040    0.4396   -7996.3253  0.3552 
   00041    0.4196   -7994.3890  0.3558 
   00042    0.4472   -8034.5360  0.3602 
   00043    0.4360   -8041.7661  0.3639 
   00044    0.4096   -8057.4228  0.3669 
   00045    0.4376   -8088.6414  0.3687 
   00046    0.4300   -8103.8928  0.3669 
   00047    0.4300   -8080.2190  0.3648 
   00048    0.4388   -8082.7211  0.3612 
   00049    0.4368   -8089.7915  0.3617 
   00050    0.4172   -8100.3001  0.3608 
