#=====================================================
# File created:        Mon-11-Mar-2024-at-03-20-09PM
# Size of lattice:     50x50
# Number of MC steps:  250
# Reduced temperature: 0.500
# Run time (s):        0.358419
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2510.7703  0.2757 
   00001    0.6824   -3794.1321  0.2732 
   00002    0.6232   -4606.8818  0.2732 
   00003    0.5796   -5201.8574  0.2776 
   00004    0.5444   -5586.5732  0.2740 
   00005    0.5404   -5957.7959  0.2704 
   00006    0.5284   -6249.0410  0.2778 
   00007    0.5088   -6538.4800  0.2742 
   00008    0.4876   -6682.4263  0.2745 
   00009    0.4740   -6842.5034  0.2857 
   00010    0.4888   -7030.6235  0.2846 
   00011    0.4740   -7137.7236  0.2879 
   00012    0.4804   -7271.0576  0.2955 
   00013    0.4524   -7347.8169  0.2914 
   00014    0.4600   -7384.5312  0.2911 
   00015    0.4508   -7445.6001  0.2914 
   00016    0.4588   -7520.5708  0.2889 
   00017    0.4440   -7569.8477  0.2842 
   00018    0.4532   -7661.5552  0.2853 
   00019    0.4460   -7656.3667  0.2864 
   00020    0.4328   -7699.4404  0.2772 
   00021    0.4560   -7699.1489  0.2756 
   00022    0.4460   -7720.3345  0.2765 
   00023    0.4440   -7795.3008  0.2775 
   00024    0.4424   -7856.8516  0.2706 
   00025    0.4240   -7902.6782  0.2753 
   00026    0.4132   -7983.7275  0.2732 
   00027    0.4352   -7991.5566  0.2794 
   00028    0.4188   -7988.4082  0.2818 
   00029    0.4196   -7960.6475  0.2816 
   00030    0.4244   -7936.7290  0.2791 
   00031    0.4312   -7939.8296  0.2795 
   00032    0.4272   -7932.4619  0.2776 
   00033    0.4224   -7926.3506  0.2789 
   00034    0.4264   -7991.0063  0.2761 
   00035    0.4152   -8020.7871  0.2739 
   00036    0.4404   -8023.4150  0.2811 
   00037    0.4252   -8065.8833  0.2732 
   00038    0.4320   -8089.0898  0.2793 
   00039    0.4304   -8067.3794  0.2843 
   00040    0.4532   -8045.9678  0.2839 
   00041    0.4040   -8076.3687  0.2797 
   00042    0.4300   -8107.8853  0.2818 
   00043    0.4228   -8106.0767  0.2844 
   00044    0.4420   -8122.0376  0.2831 
   00045    0.4436   -8094.6201  0.2806 
   00046    0.4284   -8049.7124  0.2809 
   00047    0.4272   -8057.2891  0.2816 
   00048    0.4276   -8069.6865  0.2778 
   00049    0.4276   -8052.6709  0.2784 
   00050    0.4220   -8132.4458  0.2830 
   00051    0.4332   -8105.9180  0.2876 
   00052    0.4436   -8081.8711  0.2937 
   00053    0.4488   -8087.4175  0.2983 
   00054    0.4196   -8123.9492  0.2989 
   00055    0.4280   -8167.1187  0.2894 
   00056    0.4260   -8183.2129  0.2908 
   00057    0.4420   -8162.5068  0.2951 
   00058    0.4016   -8153.7104  0.2998 
   00059    0.4232   -8140.8892  0.3000 
   00060    0.4160   -8164.5312  0.2981 
   00061    0.4144   -8209.2773  0.3019 
   00062    0.4208   -8160.5405  0.3012 
   00063    0.4412   -8172.8037  0.2967 
   00064    0.4204   -8153.0488  0.2997 
   00065    0.4232   -8161.1431  0.2952 
   00066    0.4336   -8173.7300  0.2910 
   00067    0.4124   -8206.2461  0.2927 
   00068    0.4260   -8211.6201  0.2932 
   00069    0.4364   -8228.1299  0.2896 
   00070    0.4280   -8220.7900  0.2931 
   00071    0.4168   -8237.1709  0.2970 
   00072    0.4164   -8199.9746  0.2892 
   00073    0.4248   -8192.1250  0.2892 
   00074    0.4104   -8202.6426  0.2889 
   00075    0.4184   -8226.0195  0.2803 
   00076    0.4156   -8231.3984  0.2797 
   00077    0.4232   -8234.1445  0.2848 
   00078    0.4188   -8232.4512  0.2896 
   00079    0.4320   -8215.6631  0.2893 
   00080    0.4352   -8193.8213  0.2935 
   00081    0.4512   -8192.6348  0.2922 
