#=====================================================
# File created:        Fri-08-Mar-2024-at-05-45-59PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.052562
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2414.5452  0.2648 
   00001    0.6844   -3735.6121  0.2720 
   00002    0.6368   -4553.8798  0.2823 
   00003    0.5844   -5115.3906  0.2936 
   00004    0.5652   -5426.9473  0.3059 
   00005    0.5464   -5772.6601  0.3086 
   00006    0.4964   -6080.8119  0.3212 
   00007    0.5100   -6278.0522  0.3226 
   00008    0.5112   -6494.3049  0.3284 
   00009    0.4936   -6660.2427  0.3310 
   00010    0.4868   -6823.6742  0.3360 
   00011    0.4568   -6935.3434  0.3335 
   00012    0.4732   -7050.6218  0.3311 
   00013    0.4776   -7170.4724  0.3411 
   00014    0.4768   -7284.2442  0.3428 
   00015    0.4468   -7343.3407  0.3394 
   00016    0.4488   -7392.5683  0.3472 
   00017    0.4364   -7509.4552  0.3509 
   00018    0.4748   -7559.6332  0.3532 
   00019    0.4536   -7625.9173  0.3553 
   00020    0.4452   -7666.6082  0.3506 
   00021    0.4568   -7714.7248  0.3548 
   00022    0.4424   -7803.7394  0.3579 
   00023    0.4456   -7852.1295  0.3559 
   00024    0.4272   -7869.1683  0.3581 
   00025    0.4528   -7835.1854  0.3565 
   00026    0.4416   -7875.5027  0.3580 
   00027    0.4316   -7912.2142  0.3638 
   00028    0.4364   -7938.0957  0.3639 
   00029    0.4336   -7964.0705  0.3613 
   00030    0.4284   -8045.4186  0.3638 
   00031    0.4364   -8058.5504  0.3599 
   00032    0.4380   -8010.9114  0.3536 
   00033    0.4296   -8012.8055  0.3490 
   00034    0.4120   -7990.7667  0.3532 
   00035    0.4264   -8039.8233  0.3636 
   00036    0.4184   -8082.7581  0.3658 
   00037    0.4196   -8086.1280  0.3618 
   00038    0.4368   -8129.5049  0.3603 
   00039    0.4252   -8125.5471  0.3629 
   00040    0.4152   -8150.1935  0.3697 
   00041    0.4176   -8120.6908  0.3728 
   00042    0.4240   -8091.9395  0.3726 
   00043    0.4176   -8100.4728  0.3689 
   00044    0.4268   -8092.3355  0.3674 
   00045    0.4148   -8134.5006  0.3625 
   00046    0.4132   -8127.5681  0.3698 
   00047    0.4080   -8195.9485  0.3607 
   00048    0.4244   -8197.1167  0.3627 
   00049    0.4260   -8230.3860  0.3644 
   00050    0.4152   -8261.8626  0.3688 
