#=====================================================
# File created:        Mon-11-Mar-2024-at-04-37-45PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.227957
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2479.8883  0.2621 
   00001    0.6908   -3700.2297  0.2604 
   00002    0.6284   -4479.1515  0.2645 
   00003    0.5728   -5114.6008  0.2669 
   00004    0.5632   -5580.3159  0.2677 
   00005    0.5376   -5915.4308  0.2577 
   00006    0.5112   -6230.7571  0.2569 
   00007    0.5064   -6416.8406  0.2653 
   00008    0.5116   -6614.6381  0.2729 
   00009    0.5008   -6723.6502  0.2722 
   00010    0.4928   -6937.3885  0.2687 
   00011    0.4892   -7049.7251  0.2712 
   00012    0.4728   -7191.4814  0.2760 
   00013    0.4584   -7240.4297  0.2756 
   00014    0.4496   -7385.5429  0.2814 
   00015    0.4332   -7453.1466  0.2824 
   00016    0.4220   -7492.6227  0.2851 
   00017    0.4516   -7528.9586  0.2839 
   00018    0.4584   -7572.9315  0.2911 
   00019    0.4472   -7630.3864  0.2933 
   00020    0.4440   -7707.4552  0.2962 
   00021    0.4312   -7732.9345  0.2965 
   00022    0.4412   -7731.6521  0.3001 
   00023    0.4252   -7748.2298  0.3018 
   00024    0.4220   -7765.5897  0.3055 
   00025    0.4292   -7812.8360  0.3019 
   00026    0.4308   -7784.5514  0.2997 
   00027    0.4268   -7786.0425  0.2989 
   00028    0.4356   -7741.1710  0.2982 
   00029    0.4560   -7772.1274  0.2965 
   00030    0.4540   -7786.1794  0.2949 
   00031    0.4400   -7817.4861  0.2990 
   00032    0.4280   -7808.8933  0.3049 
   00033    0.4384   -7837.8877  0.3121 
   00034    0.4452   -7841.9382  0.3074 
   00035    0.4360   -7901.9793  0.3055 
   00036    0.4448   -7915.3869  0.3048 
   00037    0.4372   -7959.6620  0.3057 
   00038    0.4120   -7984.9312  0.3147 
   00039    0.4240   -7977.7821  0.3153 
   00040    0.4352   -7978.3082  0.3182 
   00041    0.4344   -7963.9183  0.3136 
   00042    0.4284   -7991.0818  0.3187 
   00043    0.4204   -7994.5897  0.3212 
   00044    0.4352   -7996.2980  0.3240 
   00045    0.4340   -8026.0390  0.3218 
   00046    0.4208   -8038.6062  0.3245 
   00047    0.4428   -8042.1708  0.3246 
   00048    0.4180   -8081.0359  0.3291 
   00049    0.4120   -8063.3126  0.3283 
   00050    0.4280   -8077.1050  0.3255 
