#=====================================================
# File created:        Fri-08-Mar-2024-at-03-03-15PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.794548
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2471.3799  0.2541 
   00001    34.3600   -3622.8123  0.2680 
   00002    31.8600   -4366.1568  0.2620 
   00003    29.9200   -5037.9706  0.2734 
   00004    27.9800   -5501.9580  0.2773 
   00005    26.8800   -5879.7062  0.2968 
   00006    26.9600   -6146.6188  0.2977 
   00007    25.2000   -6486.4419  0.3144 
   00008    24.1800   -6643.2018  0.3280 
   00009    23.4800   -6839.4270  0.3317 
   00010    24.7800   -6953.3727  0.3257 
   00011    24.1200   -7097.6824  0.3196 
   00012    22.8400   -7191.0555  0.3233 
   00013    21.8200   -7294.8277  0.3280 
   00014    23.0800   -7414.0035  0.3256 
   00015    22.8000   -7462.9942  0.3285 
   00016    22.7400   -7542.7153  0.3314 
   00017    21.6000   -7586.5853  0.3349 
   00018    22.9000   -7603.3101  0.3417 
   00019    22.8800   -7661.9400  0.3461 
   00020    22.0200   -7675.2643  0.3493 
   00021    22.5200   -7697.4485  0.3515 
   00022    22.3400   -7704.3515  0.3573 
   00023    22.1400   -7694.3673  0.3625 
   00024    22.9600   -7713.3112  0.3661 
   00025    22.7000   -7727.7792  0.3736 
   00026    22.1000   -7809.5870  0.3703 
   00027    21.5000   -7868.5096  0.3748 
   00028    21.5000   -7865.8160  0.3776 
   00029    22.0400   -7919.9724  0.3800 
   00030    22.4400   -7999.8890  0.3845 
   00031    21.9400   -7985.4807  0.3850 
   00032    21.6600   -7977.4522  0.3895 
   00033    21.2400   -7952.8585  0.3932 
   00034    19.8800   -7990.6102  0.3988 
   00035    22.2800   -7950.0687  0.3939 
   00036    21.2600   -7985.6885  0.3935 
   00037    21.2400   -7990.0148  0.3915 
   00038    21.8600   -7999.2628  0.3937 
   00039    20.8200   -8024.0816  0.3973 
   00040    21.1800   -8055.2439  0.4021 
   00041    21.1000   -8095.3223  0.4028 
   00042    21.0600   -8083.3363  0.4085 
   00043    21.7000   -8073.3740  0.4074 
   00044    21.5000   -8052.0959  0.4037 
   00045    20.7600   -8041.5572  0.3951 
   00046    21.8000   -8035.7104  0.3949 
   00047    21.0800   -8072.1000  0.3990 
   00048    21.4000   -8068.1605  0.4053 
   00049    22.0400   -8109.5362  0.4023 
   00050    21.0200   -8100.3926  0.4046 
