#=====================================================
# File created:        Tue-12-Mar-2024-at-06-26-58PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.680031
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2511.1823  0.2508 
   00001    0.6944   -3681.8308  0.2552 
   00002    0.6300   -4451.6358  0.2538 
   00003    0.5608   -4967.2895  0.2629 
   00004    0.5536   -5405.4704  0.2683 
   00005    0.5396   -5767.2608  0.2779 
   00006    0.5188   -6040.6272  0.2902 
   00007    0.5064   -6189.0683  0.2881 
   00008    0.4936   -6407.0896  0.2935 
   00009    0.5156   -6564.2459  0.3012 
   00010    0.4932   -6677.3190  0.3016 
   00011    0.4808   -6813.1711  0.3160 
   00012    0.4684   -6906.7294  0.3127 
   00013    0.4744   -7000.0023  0.3202 
   00014    0.4532   -7115.3712  0.3324 
   00015    0.4756   -7178.0791  0.3407 
   00016    0.4640   -7250.5071  0.3369 
   00017    0.4528   -7370.1528  0.3421 
   00018    0.4360   -7454.5057  0.3471 
   00019    0.4612   -7486.4777  0.3482 
   00020    0.4292   -7571.5818  0.3557 
   00021    0.4416   -7589.7633  0.3522 
   00022    0.4548   -7640.7658  0.3502 
   00023    0.4400   -7669.3058  0.3584 
   00024    0.4540   -7710.8331  0.3538 
   00025    0.4464   -7716.0186  0.3594 
   00026    0.4456   -7764.0745  0.3598 
   00027    0.4336   -7814.5331  0.3526 
   00028    0.4416   -7867.0015  0.3595 
   00029    0.4500   -7851.7567  0.3597 
   00030    0.4360   -7876.5955  0.3597 
   00031    0.4508   -7913.2877  0.3614 
   00032    0.4668   -7948.7710  0.3595 
   00033    0.4216   -7997.1732  0.3615 
   00034    0.4416   -7988.0179  0.3567 
   00035    0.4248   -8007.7323  0.3579 
   00036    0.4420   -8023.0416  0.3653 
   00037    0.4188   -8041.4436  0.3649 
   00038    0.4368   -8084.9186  0.3634 
   00039    0.4064   -8101.2692  0.3644 
   00040    0.4164   -8129.3806  0.3602 
   00041    0.4268   -8087.8722  0.3600 
   00042    0.4348   -8076.8340  0.3635 
   00043    0.4232   -8072.1711  0.3661 
   00044    0.4352   -8052.6990  0.3742 
   00045    0.4352   -8043.2877  0.3763 
   00046    0.4400   -8013.1315  0.3729 
   00047    0.4128   -8056.8650  0.3778 
   00048    0.4420   -8119.5964  0.3769 
   00049    0.4240   -8155.6585  0.3748 
   00050    0.4072   -8155.6925  0.3799 
