#=====================================================
# File created:        Fri-08-Mar-2024-at-07-31-36PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.000000
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2500.0139  0.2608 
   00001    0.6852   -3659.7896  0.2717 
   00002    0.6308   -4454.3438  0.2868 
   00003    0.5980   -5031.6851  0.2841 
   00004    0.5588   -5496.7700  0.2874 
   00005    0.5380   -5890.7285  0.2782 
   00006    0.5188   -6109.2456  0.2733 
   00007    0.5192   -6339.9331  0.2781 
   00008    0.4948   -6489.3281  0.2716 
   00009    0.4904   -6661.5732  0.2736 
   00010    0.4888   -6715.9946  0.2738 
   00011    0.4952   -6832.5542  0.2701 
   00012    0.4672   -6980.2812  0.2709 
   00013    0.4744   -7053.1841  0.2696 
   00014    0.4624   -7136.3818  0.2684 
   00015    0.4596   -7179.2676  0.2709 
   00016    0.4520   -7256.5615  0.2670 
   00017    0.4692   -7301.6978  0.2652 
   00018    0.4796   -7372.4126  0.2656 
   00019    0.4568   -7388.0239  0.2586 
   00020    0.4508   -7420.2607  0.2668 
   00021    0.4576   -7474.1533  0.2648 
   00022    0.4544   -7528.5786  0.2674 
   00023    0.4460   -7545.1421  0.2667 
   00024    0.4568   -7547.3188  0.2630 
   00025    0.4536   -7621.4453  0.2586 
   00026    0.4504   -7659.8042  0.2626 
   00027    0.4396   -7700.2563  0.2642 
   00028    0.4420   -7746.6426  0.2648 
   00029    0.4328   -7782.2910  0.2640 
   00030    0.4652   -7770.3716  0.2606 
   00031    0.4552   -7757.9648  0.2663 
   00032    0.4456   -7763.0034  0.2629 
   00033    0.4444   -7768.5532  0.2635 
   00034    0.4472   -7795.3574  0.2609 
   00035    0.4444   -7773.6689  0.2631 
   00036    0.4396   -7798.1104  0.2589 
   00037    0.4392   -7817.3101  0.2599 
   00038    0.4132   -7834.0981  0.2531 
   00039    0.4344   -7842.9707  0.2600 
   00040    0.4376   -7826.3223  0.2683 
   00041    0.4376   -7858.1240  0.2742 
   00042    0.4216   -7833.5918  0.2752 
   00043    0.4400   -7835.9521  0.2746 
   00044    0.4352   -7791.3936  0.2789 
   00045    0.4332   -7803.2627  0.2778 
   00046    0.4360   -7851.2949  0.2813 
   00047    0.4568   -7852.8750  0.2830 
   00048    0.4528   -7953.2593  0.2843 
   00049    0.4204   -7951.9653  0.2907 
   00050    0.4292   -7930.6606  0.2927 
