#=====================================================
# File created:        Fri-08-Mar-2024-at-03-01-28PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.728518
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2556.4362  0.2635 
   00001    34.2800   -3752.7371  0.2592 
   00002    31.6400   -4498.5233  0.2609 
   00003    28.6000   -5110.1936  0.2592 
   00004    27.7000   -5576.5734  0.2556 
   00005    26.7200   -5826.8616  0.2589 
   00006    25.5800   -6004.5721  0.2578 
   00007    26.0600   -6223.9810  0.2590 
   00008    25.5400   -6480.8691  0.2691 
   00009    24.1800   -6676.9574  0.2660 
   00010    24.2400   -6833.1577  0.2648 
   00011    24.1600   -6965.5119  0.2752 
   00012    24.5000   -7094.1412  0.2767 
   00013    23.3800   -7112.3491  0.2737 
   00014    22.7200   -7185.6012  0.2699 
   00015    22.6600   -7276.2375  0.2757 
   00016    22.8400   -7346.1979  0.2767 
   00017    23.0000   -7393.4596  0.2772 
   00018    22.3200   -7433.8824  0.2697 
   00019    22.6400   -7441.8082  0.2613 
   00020    22.3400   -7487.4920  0.2661 
   00021    23.0200   -7587.4724  0.2673 
   00022    22.7000   -7640.7479  0.2697 
   00023    22.3400   -7692.6194  0.2692 
   00024    22.8000   -7710.2367  0.2717 
   00025    21.8400   -7793.5434  0.2686 
   00026    22.3400   -7779.6971  0.2688 
   00027    22.3000   -7846.6734  0.2716 
   00028    21.6000   -7823.8417  0.2719 
   00029    21.6600   -7837.6682  0.2783 
   00030    22.2400   -7859.0759  0.2787 
   00031    21.8400   -7879.0834  0.2775 
   00032    21.9200   -7877.6523  0.2761 
   00033    21.7600   -7884.4505  0.2790 
   00034    21.3800   -7914.3435  0.2761 
   00035    21.4800   -7936.0886  0.2796 
   00036    21.3200   -7991.8348  0.2827 
   00037    21.2200   -8027.9276  0.2882 
   00038    21.4200   -8005.8894  0.2877 
   00039    21.6200   -7962.7944  0.2920 
   00040    21.5400   -7994.2439  0.2943 
   00041    21.4200   -8010.8680  0.3000 
   00042    20.8800   -8033.5023  0.3031 
   00043    21.1600   -8009.7172  0.3061 
   00044    22.1800   -8000.3311  0.3045 
   00045    21.8600   -8040.2704  0.3101 
   00046    21.6600   -8032.0358  0.3067 
   00047    21.4000   -8040.9298  0.3083 
   00048    21.5000   -8032.8878  0.3105 
   00049    21.8000   -8048.1889  0.3093 
   00050    21.0800   -8050.4438  0.3150 
