#=====================================================
# File created:        Mon-11-Mar-2024-at-05-15-49PM
# Size of lattice:     25x25
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.465174
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -633.4610  0.2868 
   00001    0.6464    -926.6765  0.2922 
   00002    0.6336   -1152.5355  0.2929 
   00003    0.6128   -1278.0168  0.3038 
   00004    0.5504   -1369.9425  0.3197 
   00005    0.5504   -1449.0415  0.3088 
   00006    0.5136   -1519.8382  0.3242 
   00007    0.5168   -1598.3611  0.3411 
   00008    0.4960   -1636.2337  0.3506 
   00009    0.4832   -1676.1293  0.3744 
   00010    0.5168   -1728.7152  0.3947 
   00011    0.4832   -1797.2802  0.3962 
   00012    0.4432   -1847.9131  0.4024 
   00013    0.4416   -1870.1614  0.4175 
   00014    0.4560   -1870.7034  0.4311 
   00015    0.4400   -1909.8672  0.4432 
   00016    0.4208   -1936.5723  0.4270 
   00017    0.4624   -1974.7738  0.4389 
   00018    0.4336   -1956.3058  0.4404 
   00019    0.4304   -1956.9087  0.4274 
   00020    0.4368   -1987.3908  0.4155 
   00021    0.4336   -2011.2917  0.4211 
   00022    0.4384   -2010.1543  0.4272 
   00023    0.4688   -1984.4385  0.4245 
   00024    0.4720   -1986.3317  0.4171 
   00025    0.4256   -1976.3649  0.4142 
   00026    0.4176   -1999.9871  0.4172 
   00027    0.4016   -2002.8648  0.4273 
   00028    0.4576   -1985.8466  0.4398 
   00029    0.4624   -1989.4938  0.4409 
   00030    0.4640   -1964.8820  0.4425 
   00031    0.4752   -1960.0041  0.4277 
   00032    0.4656   -1970.9770  0.4229 
   00033    0.4240   -1975.6083  0.4185 
   00034    0.3872   -1985.7489  0.4083 
   00035    0.4032   -1999.8262  0.4028 
   00036    0.4608   -2028.9831  0.4035 
   00037    0.4256   -2017.4740  0.4005 
   00038    0.4464   -2043.8302  0.3999 
   00039    0.4400   -2033.4428  0.3971 
   00040    0.4272   -2015.8960  0.3967 
   00041    0.4096   -2023.0557  0.3902 
   00042    0.3920   -2027.6328  0.3885 
   00043    0.4752   -2024.9385  0.3788 
   00044    0.4352   -2027.4132  0.3718 
   00045    0.4096   -2021.0470  0.3686 
   00046    0.4384   -2016.8319  0.3606 
   00047    0.4240   -2006.8754  0.3559 
   00048    0.4224   -2018.0082  0.3420 
   00049    0.4096   -2031.9911  0.3475 
   00050    0.3936   -2035.6186  0.3458 
