#=====================================================
# File created:        Sat-09-Mar-2024-at-03-44-45PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.699697
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2443.1886  0.2515 
   00001    0.6820   -3711.5977  0.2634 
   00002    0.6300   -4526.5011  0.2704 
   00003    0.5668   -5090.2657  0.2648 
   00004    0.5456   -5498.8163  0.2637 
   00005    0.5460   -5846.4593  0.2643 
   00006    0.5260   -6109.1199  0.2667 
   00007    0.5240   -6412.4347  0.2653 
   00008    0.4908   -6646.5629  0.2645 
   00009    0.4940   -6863.8014  0.2596 
   00010    0.4752   -6988.6146  0.2666 
   00011    0.4692   -7063.6216  0.2639 
   00012    0.4732   -7157.1248  0.2658 
   00013    0.4788   -7202.6736  0.2645 
   00014    0.4700   -7268.4054  0.2634 
   00015    0.4584   -7384.7544  0.2612 
   00016    0.4428   -7449.6458  0.2619 
   00017    0.4420   -7498.0646  0.2645 
   00018    0.4352   -7562.5248  0.2628 
   00019    0.4620   -7560.8356  0.2654 
   00020    0.4524   -7604.6795  0.2681 
   00021    0.4392   -7625.5494  0.2669 
   00022    0.4436   -7691.1150  0.2655 
   00023    0.4380   -7732.0874  0.2708 
   00024    0.4332   -7750.5416  0.2729 
   00025    0.4496   -7736.3969  0.2733 
   00026    0.4424   -7753.0451  0.2751 
   00027    0.4468   -7759.1874  0.2686 
   00028    0.4300   -7788.8375  0.2713 
   00029    0.4196   -7803.8013  0.2720 
   00030    0.4440   -7833.8889  0.2742 
   00031    0.4420   -7820.8583  0.2725 
   00032    0.4320   -7834.6180  0.2716 
   00033    0.4152   -7828.8329  0.2735 
   00034    0.4436   -7821.7635  0.2720 
   00035    0.4328   -7835.6017  0.2708 
   00036    0.4380   -7855.5106  0.2714 
   00037    0.4364   -7901.2675  0.2744 
   00038    0.4464   -7877.2994  0.2690 
   00039    0.4400   -7956.9789  0.2684 
   00040    0.4440   -7994.6019  0.2730 
   00041    0.4332   -8002.7301  0.2683 
   00042    0.4256   -7992.9185  0.2659 
   00043    0.4364   -8023.7673  0.2621 
   00044    0.4336   -7985.6174  0.2629 
   00045    0.4284   -7986.9983  0.2663 
   00046    0.4404   -7969.7266  0.2701 
   00047    0.4288   -7990.1059  0.2693 
   00048    0.4384   -7966.0006  0.2670 
   00049    0.4232   -8014.0285  0.2626 
   00050    0.4404   -8039.1666  0.2599 
