#=====================================================
# File created:        Mon-11-Mar-2024-at-05-25-30PM
# Size of lattice:     50x50
# Number of MC steps:  25
# Reduced temperature: 0.500
# Run time (s):        0.604972
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2444.9790  0.2593 
   00001    0.6708   -3685.9554  0.2641 
   00002    0.6192   -4495.6258  0.2645 
   00003    0.5796   -5085.7550  0.2617 
   00004    0.5468   -5462.0761  0.2656 
   00005    0.5500   -5828.3867  0.2808 
   00006    0.5128   -6149.3646  0.2786 
   00007    0.5008   -6347.3046  0.2896 
   00008    0.5128   -6482.2828  0.2953 
   00009    0.4868   -6741.8337  0.2937 
   00010    0.4812   -6836.9797  0.2978 
   00011    0.5036   -6931.4356  0.3009 
   00012    0.4836   -7027.7308  0.3002 
   00013    0.4632   -7158.5487  0.3094 
   00014    0.4700   -7212.1515  0.3206 
   00015    0.4516   -7286.3945  0.3243 
   00016    0.4696   -7366.8614  0.3227 
   00017    0.4412   -7463.5121  0.3147 
   00018    0.4376   -7491.3679  0.3167 
   00019    0.4344   -7544.3060  0.3137 
   00020    0.4440   -7620.6013  0.3184 
   00021    0.4428   -7602.4692  0.3187 
   00022    0.4436   -7684.2476  0.3239 
   00023    0.4336   -7699.4918  0.3253 
   00024    0.4460   -7694.7031  0.3152 
   00025    0.4412   -7752.7828  0.3229 
