#=====================================================
# File created:        Sat-09-Mar-2024-at-07-13-19PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        6.380882
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10054.1411  0.2607 
   00001    0.6788  -14833.4343  0.2578 
   00002    0.6280  -17910.3156  0.2558 
   00003    0.5875  -20168.6070  0.2562 
   00004    0.5582  -21969.0292  0.2573 
   00005    0.5405  -23464.8193  0.2536 
   00006    0.5340  -24472.3924  0.2592 
   00007    0.5141  -25471.1484  0.2666 
   00008    0.4937  -26187.4761  0.2718 
   00009    0.4859  -26997.6167  0.2726 
   00010    0.4802  -27600.8666  0.2742 
   00011    0.4752  -27920.8466  0.2780 
   00012    0.4767  -28456.0643  0.2807 
   00013    0.4702  -28831.3263  0.2821 
   00014    0.4599  -29169.4937  0.2796 
   00015    0.4662  -29465.4736  0.2849 
   00016    0.4548  -29762.9905  0.2796 
   00017    0.4557  -30011.4891  0.2800 
   00018    0.4509  -30235.5548  0.2811 
   00019    0.4551  -30375.7687  0.2857 
   00020    0.4489  -30506.7034  0.2873 
   00021    0.4473  -30547.6327  0.2839 
   00022    0.4412  -30689.1370  0.2864 
   00023    0.4474  -30927.1921  0.2886 
   00024    0.4275  -30997.6877  0.2892 
   00025    0.4399  -31232.3585  0.2923 
   00026    0.4436  -31298.4106  0.2924 
   00027    0.4347  -31430.0145  0.2900 
   00028    0.4387  -31551.8393  0.2926 
   00029    0.4386  -31638.0108  0.2934 
   00030    0.4331  -31718.7102  0.2914 
   00031    0.4332  -31791.5966  0.2916 
   00032    0.4425  -31760.2864  0.2912 
   00033    0.4332  -31761.2239  0.2920 
   00034    0.4303  -31917.6447  0.2906 
   00035    0.4304  -31980.0884  0.2907 
   00036    0.4304  -32000.9268  0.2917 
   00037    0.4296  -32073.0770  0.2912 
   00038    0.4338  -32068.8872  0.2935 
   00039    0.4337  -32073.2460  0.2916 
   00040    0.4302  -32058.9685  0.2906 
   00041    0.4303  -32119.0768  0.2928 
   00042    0.4353  -32264.4335  0.2934 
   00043    0.4362  -32292.2847  0.2918 
   00044    0.4265  -32327.4577  0.2904 
   00045    0.4285  -32348.5126  0.2901 
   00046    0.4217  -32275.3538  0.2905 
   00047    0.4274  -32351.4226  0.2945 
   00048    0.4294  -32381.1661  0.2994 
   00049    0.4247  -32447.9935  0.3017 
   00050    0.4274  -32496.9944  0.2973 
