#=====================================================
# File created:        Mon-11-Mar-2024-at-01-28-14PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.546671
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2426.0255  0.2617 
   00001    0.6776   -3665.2203  0.2675 
   00002    0.6204   -4466.3897  0.2709 
   00003    0.5860   -5056.4676  0.2783 
   00004    0.5604   -5474.4046  0.2646 
   00005    0.5480   -5837.5991  0.2564 
   00006    0.5272   -6136.5475  0.2672 
   00007    0.4920   -6352.1194  0.2561 
   00008    0.5284   -6560.5145  0.2606 
   00009    0.4976   -6724.7731  0.2624 
   00010    0.4660   -6891.5384  0.2568 
   00011    0.4784   -7118.4185  0.2636 
   00012    0.4812   -7255.3906  0.2606 
   00013    0.4532   -7379.6779  0.2637 
   00014    0.4476   -7419.2853  0.2625 
   00015    0.4488   -7513.1627  0.2679 
   00016    0.4284   -7548.8265  0.2685 
   00017    0.4600   -7604.7169  0.2725 
   00018    0.4324   -7635.1868  0.2701 
   00019    0.4340   -7666.3249  0.2726 
   00020    0.4544   -7713.4104  0.2612 
   00021    0.4532   -7767.8380  0.2643 
   00022    0.4576   -7782.1387  0.2705 
   00023    0.4292   -7812.8064  0.2666 
   00024    0.4416   -7835.2975  0.2684 
   00025    0.4320   -7831.8028  0.2677 
   00026    0.4440   -7859.8435  0.2625 
   00027    0.4352   -7924.9260  0.2603 
   00028    0.4304   -7977.5999  0.2640 
   00029    0.4196   -7990.4690  0.2646 
   00030    0.4284   -8018.6263  0.2649 
   00031    0.4160   -8017.4989  0.2685 
   00032    0.4340   -8035.8500  0.2690 
   00033    0.4372   -8038.4268  0.2733 
   00034    0.4324   -8041.1535  0.2798 
   00035    0.4284   -8016.0363  0.2791 
   00036    0.4392   -8034.0830  0.2802 
   00037    0.4216   -8061.6117  0.2847 
   00038    0.4188   -8077.6844  0.2845 
   00039    0.4244   -8063.3738  0.2862 
   00040    0.4292   -8084.3499  0.2863 
   00041    0.4324   -8113.4132  0.2908 
   00042    0.4348   -8145.9996  0.2861 
   00043    0.4208   -8135.4841  0.2842 
   00044    0.4260   -8156.4846  0.2847 
   00045    0.4568   -8101.3401  0.2852 
   00046    0.4144   -8066.2657  0.2837 
   00047    0.4348   -8070.8843  0.2887 
   00048    0.4276   -8082.3336  0.2919 
   00049    0.4272   -8100.3377  0.2945 
   00050    0.4304   -8092.1679  0.2949 
