#=====================================================
# File created:        Mon-11-Mar-2024-at-02-34-10PM
# Size of lattice:     50x50
# Number of MC steps:  250
# Reduced temperature: 0.500
# Run time (s):        15.292856
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2528.1626  0.2588 
   00001    0.6716   -3721.6439  0.2686 
   00002    0.6288   -4458.3371  0.2742 
   00003    0.6140   -5022.1775  0.2723 
   00004    0.5380   -5497.3084  0.2856 
   00005    0.5284   -5827.9893  0.2880 
   00006    0.5268   -6085.3136  0.2860 
   00007    0.5132   -6326.3742  0.2908 
   00008    0.4968   -6540.5009  0.2915 
   00009    0.4748   -6698.3943  0.3035 
   00010    0.4876   -6817.8835  0.2936 
   00011    0.4656   -6955.8927  0.2996 
   00012    0.4788   -7049.3809  0.2961 
   00013    0.4568   -7219.8320  0.3033 
   00014    0.4404   -7274.5873  0.3152 
   00015    0.4600   -7329.2108  0.3176 
   00016    0.4532   -7392.2964  0.3225 
   00017    0.4656   -7438.9739  0.3244 
   00018    0.4532   -7464.3405  0.3275 
   00019    0.4604   -7501.5294  0.3312 
   00020    0.4436   -7560.0963  0.3358 
   00021    0.4412   -7612.4220  0.3429 
   00022    0.4392   -7599.6727  0.3541 
   00023    0.4268   -7665.3810  0.3594 
   00024    0.4416   -7682.5047  0.3524 
   00025    0.4464   -7764.1049  0.3558 
   00026    0.4456   -7807.7682  0.3579 
   00027    0.4512   -7841.6826  0.3577 
   00028    0.4500   -7881.4010  0.3556 
   00029    0.4404   -7885.4143  0.3523 
   00030    0.4252   -7885.7116  0.3451 
   00031    0.4308   -7916.4859  0.3455 
   00032    0.4340   -7889.3915  0.3479 
   00033    0.4228   -7897.0335  0.3394 
   00034    0.4228   -7890.4827  0.3443 
   00035    0.4344   -7895.8991  0.3405 
   00036    0.4336   -7876.2316  0.3445 
   00037    0.4328   -7924.4870  0.3508 
   00038    0.4240   -7922.3486  0.3565 
   00039    0.4396   -7916.0895  0.3609 
   00040    0.4308   -7958.4158  0.3704 
   00041    0.4340   -7945.1395  0.3710 
   00042    0.4324   -7953.8614  0.3739 
   00043    0.4304   -7897.7938  0.3806 
   00044    0.4356   -7970.6463  0.3825 
   00045    0.4140   -7984.0810  0.3864 
   00046    0.4252   -7970.7737  0.3813 
   00047    0.4224   -7972.9880  0.3896 
   00048    0.4448   -8009.8524  0.3888 
   00049    0.4336   -8055.8852  0.3973 
   00050    0.4272   -8078.1535  0.4057 
   00051    0.4272   -8098.9264  0.4072 
   00052    0.4272   -8107.8420  0.4066 
   00053    0.4240   -8113.8125  0.4027 
   00054    0.4120   -8144.3399  0.3954 
   00055    0.4436   -8083.7714  0.3922 
   00056    0.4256   -8106.4928  0.3952 
   00057    0.4172   -8092.2949  0.3901 
   00058    0.4360   -8068.4000  0.3866 
   00059    0.4240   -8087.1154  0.3845 
   00060    0.4176   -8097.4794  0.3881 
   00061    0.4540   -8096.4339  0.3902 
   00062    0.4288   -8138.8719  0.3947 
   00063    0.4184   -8115.5764  0.3941 
   00064    0.4364   -8154.2816  0.3974 
   00065    0.4400   -8146.0104  0.4035 
   00066    0.4316   -8159.3613  0.4053 
   00067    0.4272   -8150.6053  0.4041 
