#=====================================================
# File created:        Tue-12-Mar-2024-at-05-43-59PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.765284
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2478.3410  0.2666 
   00001    0.6876   -3712.7104  0.2719 
   00002    0.6108   -4504.2970  0.2733 
   00003    0.5968   -5102.4704  0.2732 
   00004    0.5600   -5597.1778  0.2796 
   00005    0.5456   -5897.4010  0.2786 
   00006    0.5068   -6178.9592  0.2785 
   00007    0.4972   -6408.7107  0.2834 
   00008    0.4896   -6574.8812  0.2699 
   00009    0.4876   -6686.5112  0.2726 
   00010    0.4896   -6827.6435  0.2729 
   00011    0.4916   -6904.5472  0.2846 
   00012    0.4796   -7008.6412  0.2835 
   00013    0.4772   -7083.0412  0.2904 
   00014    0.4736   -7215.2289  0.2989 
   00015    0.4520   -7301.2581  0.3027 
   00016    0.4512   -7336.3949  0.2987 
   00017    0.4544   -7410.1410  0.3010 
   00018    0.4476   -7496.4076  0.2997 
   00019    0.4492   -7537.2686  0.2962 
   00020    0.4316   -7585.1420  0.2983 
   00021    0.4456   -7576.2494  0.3079 
   00022    0.4420   -7633.3168  0.3080 
   00023    0.4448   -7658.4647  0.3104 
   00024    0.4340   -7709.8821  0.3163 
   00025    0.4492   -7700.6279  0.3108 
   00026    0.4368   -7780.8422  0.3069 
   00027    0.4496   -7827.7384  0.3093 
   00028    0.4296   -7913.9089  0.3087 
   00029    0.4288   -7891.7684  0.3083 
   00030    0.4372   -7905.1140  0.3096 
   00031    0.4232   -7897.8985  0.3096 
   00032    0.4360   -7888.5282  0.3100 
   00033    0.4372   -7933.1659  0.3133 
   00034    0.4348   -7850.3466  0.3175 
   00035    0.4396   -7931.1337  0.3128 
   00036    0.4192   -7942.1201  0.3051 
   00037    0.4292   -7928.9361  0.2963 
   00038    0.4268   -7957.3042  0.2947 
   00039    0.4288   -8025.1263  0.2970 
   00040    0.4048   -8040.3806  0.2950 
   00041    0.4444   -8023.6987  0.2940 
   00042    0.4340   -8038.7307  0.2970 
   00043    0.4324   -8058.2569  0.2936 
   00044    0.4396   -8100.6300  0.2973 
   00045    0.4168   -8084.6315  0.2968 
   00046    0.4392   -8118.8616  0.2980 
   00047    0.4424   -8078.8159  0.3010 
   00048    0.4116   -8092.2380  0.2968 
   00049    0.4108   -8125.2667  0.2949 
   00050    0.4404   -8127.4486  0.2952 
