#=====================================================
# File created:        Sat-09-Mar-2024-at-05-30-05PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        6.872873
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10092.4266  0.2588 
   00001    0.6758  -14760.8990  0.2613 
   00002    0.6332  -18010.4290  0.2625 
   00003    0.5878  -20194.7067  0.2629 
   00004    0.5605  -21960.9592  0.2679 
   00005    0.5277  -23300.5357  0.2705 
   00006    0.5216  -24446.4466  0.2745 
   00007    0.5175  -25315.0001  0.2767 
   00008    0.4978  -26047.4878  0.2781 
   00009    0.4879  -26629.6005  0.2773 
   00010    0.4892  -27190.1416  0.2789 
   00011    0.4774  -27678.4235  0.2749 
   00012    0.4776  -28068.2859  0.2762 
   00013    0.4743  -28420.8228  0.2779 
   00014    0.4675  -28815.1983  0.2799 
   00015    0.4562  -29114.1014  0.2828 
   00016    0.4640  -29414.5946  0.2846 
   00017    0.4465  -29660.2961  0.2846 
   00018    0.4539  -29931.9148  0.2844 
   00019    0.4561  -30100.7764  0.2870 
   00020    0.4454  -30393.1585  0.2879 
   00021    0.4466  -30523.6571  0.2903 
   00022    0.4399  -30735.1930  0.2903 
   00023    0.4392  -30871.4753  0.2912 
   00024    0.4371  -30973.5831  0.2902 
   00025    0.4488  -31052.7482  0.2913 
   00026    0.4367  -31043.4464  0.2900 
   00027    0.4446  -31246.6040  0.2950 
   00028    0.4349  -31351.5537  0.2955 
   00029    0.4472  -31418.1910  0.2962 
   00030    0.4388  -31527.2346  0.2981 
   00031    0.4381  -31561.1726  0.2956 
   00032    0.4359  -31615.9450  0.2966 
   00033    0.4422  -31574.6149  0.2977 
   00034    0.4393  -31654.5483  0.2977 
   00035    0.4344  -31746.5391  0.2998 
   00036    0.4269  -31790.3768  0.3025 
   00037    0.4286  -31854.7172  0.3021 
   00038    0.4282  -31911.2702  0.3009 
   00039    0.4283  -31922.2703  0.3006 
   00040    0.4216  -32011.8006  0.3057 
   00041    0.4253  -32169.8989  0.3083 
   00042    0.4319  -32239.0867  0.3090 
   00043    0.4364  -32304.4540  0.3110 
   00044    0.4261  -32281.2591  0.3106 
   00045    0.4340  -32376.2119  0.3113 
   00046    0.4336  -32314.4865  0.3079 
   00047    0.4307  -32445.9812  0.3065 
   00048    0.4312  -32492.6838  0.3100 
   00049    0.4258  -32544.1676  0.3144 
   00050    0.4140  -32591.1590  0.3150 
