#=====================================================
# File created:        Mon-11-Mar-2024-at-05-17-39PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.832847
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2478.9026  0.2614 
   00001    0.6768   -3629.5284  0.2614 
   00002    0.6152   -4430.6020  0.2521 
   00003    0.5632   -5072.7435  0.2556 
   00004    0.5640   -5545.6363  0.2629 
   00005    0.5368   -5927.2279  0.2583 
   00006    0.5412   -6136.0657  0.2591 
   00007    0.5068   -6390.6283  0.2703 
   00008    0.4948   -6565.2124  0.2788 
   00009    0.4852   -6709.5064  0.2843 
   00010    0.4804   -6843.7505  0.2889 
   00011    0.4716   -6941.4389  0.2908 
   00012    0.4692   -7051.6488  0.2979 
   00013    0.4756   -7161.9804  0.3081 
   00014    0.4540   -7298.7176  0.3141 
   00015    0.4616   -7398.0052  0.3194 
   00016    0.4556   -7456.7924  0.3206 
   00017    0.4592   -7504.5642  0.3278 
   00018    0.4424   -7543.1407  0.3350 
   00019    0.4512   -7580.5218  0.3282 
   00020    0.4600   -7650.9176  0.3403 
   00021    0.4572   -7724.7596  0.3398 
   00022    0.4360   -7801.1439  0.3539 
   00023    0.4412   -7804.6413  0.3521 
   00024    0.4340   -7826.9077  0.3506 
   00025    0.4420   -7830.5923  0.3546 
   00026    0.4432   -7869.9562  0.3524 
   00027    0.4504   -7866.0966  0.3517 
   00028    0.4416   -7897.3844  0.3563 
   00029    0.4288   -7958.8582  0.3584 
   00030    0.4372   -7917.8304  0.3609 
   00031    0.4456   -7945.2006  0.3623 
   00032    0.4160   -7930.2307  0.3666 
   00033    0.4320   -7961.4301  0.3669 
   00034    0.4368   -7980.3463  0.3682 
   00035    0.4192   -8044.2578  0.3745 
   00036    0.4296   -8049.0289  0.3730 
   00037    0.4296   -8043.7764  0.3717 
   00038    0.4368   -8058.8227  0.3768 
   00039    0.4264   -8092.3003  0.3749 
   00040    0.4312   -8075.7742  0.3736 
   00041    0.4228   -8093.4928  0.3754 
   00042    0.4404   -8134.8983  0.3747 
   00043    0.4300   -8113.5653  0.3786 
   00044    0.4216   -8097.9886  0.3789 
   00045    0.4340   -8136.5963  0.3803 
   00046    0.4208   -8109.2325  0.3778 
   00047    0.4448   -8122.9342  0.3788 
   00048    0.4208   -8119.2825  0.3801 
   00049    0.4196   -8157.4058  0.3780 
   00050    0.4360   -8139.7356  0.3751 
