#=====================================================
# File created:        Sun-03-Mar-2024-at-12-00-23AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.207148
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2576.2859  0.2619 
   00001    0.6568   -3767.6660  0.2827 
   00002    0.6280   -4586.3280  0.2953 
   00003    0.5920   -5190.1842  0.3053 
   00004    0.5532   -5644.1692  0.3104 
   00005    0.5252   -5960.8424  0.3000 
   00006    0.5288   -6219.0061  0.2990 
   00007    0.5132   -6515.1371  0.3046 
   00008    0.5068   -6670.8795  0.2983 
   00009    0.4876   -6850.2000  0.2979 
   00010    0.4728   -6975.2144  0.2997 
   00011    0.4816   -7070.3358  0.3061 
   00012    0.4712   -7165.4018  0.3017 
   00013    0.4628   -7251.3239  0.3009 
   00014    0.4596   -7330.9420  0.2975 
   00015    0.4536   -7355.8928  0.3024 
   00016    0.4340   -7416.6157  0.3051 
   00017    0.4464   -7486.9906  0.3022 
   00018    0.4656   -7518.9996  0.3061 
   00019    0.4444   -7541.8047  0.3070 
   00020    0.4584   -7559.1054  0.3064 
   00021    0.4460   -7578.5479  0.3027 
   00022    0.4364   -7635.1290  0.2988 
   00023    0.4376   -7691.8487  0.3001 
   00024    0.4552   -7729.1992  0.3067 
   00025    0.4416   -7799.2321  0.3018 
   00026    0.4320   -7819.4759  0.2992 
   00027    0.4356   -7897.0986  0.3045 
   00028    0.4436   -7883.1914  0.3073 
   00029    0.4368   -7869.5597  0.3104 
   00030    0.4316   -7908.9755  0.3059 
   00031    0.4276   -7879.8800  0.3005 
   00032    0.4240   -7878.0931  0.3082 
   00033    0.4256   -7892.0371  0.3042 
   00034    0.4448   -7904.9651  0.3039 
   00035    0.4376   -7874.0187  0.3009 
   00036    0.4424   -7894.7713  0.3063 
   00037    0.4300   -7875.2541  0.3087 
   00038    0.4408   -7936.6614  0.3046 
   00039    0.4200   -7963.7715  0.3041 
   00040    0.4364   -7981.7022  0.3052 
   00041    0.4352   -8000.7052  0.3061 
   00042    0.4356   -8019.1013  0.3111 
   00043    0.4296   -8016.0366  0.3088 
   00044    0.4252   -7975.3546  0.3060 
   00045    0.4380   -8055.2567  0.2984 
   00046    0.4320   -8068.6678  0.3031 
   00047    0.4376   -8007.5373  0.3015 
   00048    0.4296   -8037.4903  0.3036 
   00049    0.4200   -8055.2218  0.3051 
   00050    0.4272   -8080.2566  0.3028 
