#=====================================================
# File created:        Mon-11-Mar-2024-at-05-15-19PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.378830
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -78.8673  0.3126 
   00001    0.7800    -146.5443  0.2878 
   00002    0.6100    -194.4882  0.3216 
   00003    0.5500    -215.2366  0.3811 
   00004    0.4500    -233.3707  0.3984 
   00005    0.4600    -254.0495  0.3812 
   00006    0.5600    -253.1433  0.4711 
   00007    0.5200    -272.9409  0.4809 
   00008    0.4000    -278.5583  0.5546 
   00009    0.5600    -283.8457  0.5424 
   00010    0.4900    -287.2750  0.5439 
   00011    0.5100    -290.7958  0.5555 
   00012    0.4200    -292.8026  0.5676 
   00013    0.4100    -294.7083  0.5408 
   00014    0.4400    -300.7926  0.5332 
   00015    0.4600    -305.0664  0.5216 
   00016    0.4700    -299.8967  0.5045 
   00017    0.4500    -292.8404  0.5235 
   00018    0.3800    -298.1893  0.5093 
   00019    0.4000    -288.3833  0.5146 
   00020    0.4900    -299.7610  0.5431 
   00021    0.4500    -296.4481  0.5575 
   00022    0.4500    -307.7904  0.6260 
   00023    0.4900    -306.1337  0.6373 
   00024    0.3800    -305.1356  0.6397 
   00025    0.3900    -306.4610  0.6654 
   00026    0.4500    -302.5572  0.6729 
   00027    0.4200    -303.3440  0.6553 
   00028    0.4400    -306.6669  0.6393 
   00029    0.3300    -318.4583  0.6652 
   00030    0.4100    -325.4692  0.6996 
   00031    0.4300    -335.3522  0.7255 
   00032    0.4000    -335.0095  0.7430 
   00033    0.3600    -332.2851  0.7552 
   00034    0.4000    -331.4314  0.7609 
   00035    0.4300    -332.4096  0.7670 
   00036    0.4000    -336.1038  0.7652 
   00037    0.4200    -335.8073  0.7681 
   00038    0.3900    -330.2834  0.7794 
   00039    0.4000    -335.6920  0.7631 
   00040    0.4700    -330.5654  0.7729 
   00041    0.4100    -328.3382  0.7678 
   00042    0.4700    -328.8481  0.7702 
   00043    0.4100    -328.6729  0.7790 
   00044    0.4400    -339.9259  0.7945 
   00045    0.5200    -328.1626  0.7767 
   00046    0.4800    -339.0065  0.8078 
   00047    0.3700    -331.2175  0.7882 
   00048    0.4300    -335.5466  0.8037 
   00049    0.4800    -337.6614  0.8197 
   00050    0.3800    -336.0791  0.8163 
